"측정일자","측정시간","지역","지역명","도로명","시작점","종점","기온","습도","재비산먼지평균농도","오염범례"
"2022-02-03","13:14","충북","진천군","문화로","충청북도 진천군 진천읍 신정리 504-2 도","충청북도 진천군 진천읍 신정리 506 답","1","44","83","좋음"
"2022-02-03","13:37","충북","음성군","원중로","충청북도 음성군 맹동면 본성리 산65-4 도","충청북도 음성군 원남면 보천리 392-3도","1","43","405","매우나쁨"
"2022-02-03","14:51","충북","충주시","계명대로","충청북도 충주시 칠금동 188-9도","충청북도 충주시 연수동 1754 도","2","30","266","매우나쁨"
"2022-02-03","15:06","충북","충주시","국원대로","충청북도 충주시 문화동 572도","충청북도 충주시 용탄동 1138도","2","29","62","좋음"
"2022-02-04","10:52","충북","제천시","의림대로","충청북도 제천시 화산동 260도","충청북도 제천시 송학면 도화리 산10-13임","-3","44","1177","매우나쁨"
"2022-02-04","11:59","충북","단양군","여천덕천로","충청북도 단양군 가곡면 사평리 산79-19도","충청북도 단양군 매포읍 하괴리 176-7도","-1","37","5031","매우나쁨"
"2022-02-07","12:24","서울","용산구","청파로","서울특별시 용산구 이촌동 322천","서울특별시 용산구 서계동 217-2 도","1","36","46","매우좋음"
"2022-02-07","12:36","서울","용산구","이태원로","서울특별시 용산구 한강로1가 97도","서울특별시 용산구 한남동 726-495도","1","36","40","매우좋음"
"2022-02-07","13:00","서울","종로구","세종대로","서울특별시 종로구 세종로 1-58도","서울특별시 종로구 세종로 1-80 도","3","34","18","매우좋음"
"2022-02-07","13:02","서울","중구","세종대로","서울특별시 중구 태평로1가 63-17도","서울특별시 중구 남대문로5가 67-2대","2","34","20","매우좋음"
"2022-02-07","13:25","서울","중구","을지로","서울특별시 중구 소공동 100도","서울특별시 중구 신당동 226-4도","2","33","25","매우좋음"
"2022-02-07","14:00","서울","중구","퇴계로","서울특별시 중구 봉래동2가 130도","서울특별시 중구 황학동 2542도","2","30","30","매우좋음"
"2022-02-08","11:57","서울","강동구","천호대로","서울특별시 강동구 천호동 527-3천","서울특별시 강동구 상일동 394-4도","3","46","31","매우좋음"
"2022-02-08","13:53","서울","강동구","올림픽로","서울특별시 강동구 성내동 472도","서울특별시 강동구 암사동 98-20도","6","29","163","나쁨"
"2022-02-08","14:28","서울","송파구","오금로","서울특별시 송파구 신천동 15도","서울특별시 송파구 거여동 산63-2 구","5","29","55","좋음"
"2022-02-08","15:10","서울","송파구","송파대로","서울특별시 광진구 자양동 753-2도","서울특별시 송파구 장지동 596-21도","6","27","36","매우좋음"
"2022-02-09","13:33","경기","김포시","북변중로","경기도 김포시 걸포동 336-7도","경기도 김포시 북변동 872구","5","42","56","좋음"
"2022-02-09","13:36","경기","김포시","돌문로","경기도 김포시 사우동 186-20도","경기도 김포시 사우동 838-45도","4","43","170","나쁨"
"2022-02-09","13:39","경기","김포시","사우중로","경기도 김포시 사우동 263-1대","경기도 김포시 북변동 834도","5","43","136","보통"
"2022-02-09","13:49","경기","김포시","김포대로","경기도 김포시 고촌읍 전호리 328-11구","경기도 김포시 월곶면 포내리 5-1도","6","41","86","좋음"
"2022-02-09","13:59","경기","김포시","중구로","경기도 김포시 북변동 107-11 도","경기도 김포시 사우동 1390도","5","40","308","매우나쁨"
"2022-02-09","14:36","인천","강화군","강화대로","경기도 김포시 월곶면 성동리","인천광역시 강화군 하점면 신봉리 50-6 전","5","42","451","매우나쁨"
"2022-02-09","15:46","인천","중구","연안부두로","인천광역시 중구 항동7가 27-19 도","인천광역시 중구 항동7가 72 도","4","48","94","좋음"
"2022-02-09","16:08","인천","중구","서해대로94번길","인천광역시 중구 신흥동3가 69-1 도","인천광역시 중구 신흥동3가 58-6 도","5","44","7","매우좋음"
"2022-02-09","16:13","인천","중구","서해대로","인천광역시 중구 신흥동3가 77잡","인천광역시 중구 유동 2-74도","5","50","8","매우좋음"
"2022-02-09","11:19","서울","마포구","월드컵로","경기도 고양시덕양구 덕은동 269-4전","서울특별시 마포구 합정동 422도","4","43","87","좋음"
"2022-02-09","11:43","서울","마포구","와우산로","서울특별시 마포구 상수동 283-2도","서울특별시 마포구 동교동 191-2도","4","44","16","매우좋음"
"2022-02-09","12:09","서울","마포구","연남로","서울특별시 마포구 연남동 567-43도","서울특별시 마포구 연남동 448-4천","5","37","213","매우나쁨"
