"측정일자","측정시간","지역","지역명","도로명","시작점","종점","기온","습도","재비산먼지평균농도","오염범례"
"2022-02-09","12:15","서울","마포구","성암로","서울특별시 마포구 연남동 448-4천","서울특별시 마포구 상암동 862전","4","38","40","매우좋음"
"2022-02-09","13:19","서울","서대문구","모래내로","서울특별시 서대문구 남가좌동 110-4천","서울특별시 서대문구 홍제동 161-1 도","6","33","49","매우좋음"
"2022-02-09","13:26","서울","서대문구","연희로","서울특별시 서대문구 창천동 516도","서울특별시 서대문구 홍은동 226-4도","5","32","29","매우좋음"
"2022-02-09","13:30","서울","서대문구","통일로","서울특별시 서대문구 홍은동 164-46도","서울특별시 서대문구 홍제동 47-32구","5","32","31","매우좋음"
"2022-02-09","13:44","서울","서대문구","신촌로","서울특별시 서대문구 충정로3가 58-6 도","서울특별시 마포구 동교동 191-2도","6","31","90","좋음"
"2022-02-09","14:15","서울","은평구","연서로","서울특별시 은평구 역촌동 85-42도","서울특별시 은평구 진관동 2-23도","6","32","69","좋음"
"2022-02-09","14:23","서울","은평구","통일로","서울특별시 은평구 진관동 75-1도","서울특별시 은평구 응암동 32-1도","6","32","47","매우좋음"
"2022-02-09","11:28","경기","고양시 덕양구","소원로","경기도 고양시덕양구 행신동 1127도","경기도 고양시덕양구 행신동 820도","4","47","11","매우좋음"
"2022-02-09","11:30","경기","고양시 덕양구","화신로","경기도 고양시덕양구 행신동 856도","경기도 고양시덕양구 화정동 1016-2도","3","49","9","매우좋음"
"2022-02-09","11:35","경기","고양시 덕양구","중앙로","경기도 고양시덕양구 덕은동 561구","경기도 고양시덕양구 내곡동 170-2 도","4","46","78","좋음"
"2022-02-09","11:44","경기","고양시 덕양구","호국로","경기도 고양시덕양구 행주외동","경기도 고양시덕양구 벽제동 4-27 도","4","46","15","매우좋음"
"2022-02-09","11:55","경기","고양시 덕양구","충장로","경기도 고양시덕양구 성사동 602-11임","경기도 고양시덕양구 행신동 844도","4","43","20","매우좋음"
"2022-02-09","12:01","경기","고양시 덕양구","은빛로","경기도 고양시덕양구 화정동 118-17 도","경기도 고양시덕양구 화정동 794-27구","4","42","214","매우나쁨"
"2022-02-09","12:13","경기","고양시 일산동구","중앙로","경기도 고양시일산동구 정발산동 1603도","경기도 고양시일산동구 백석동 1632-2구","5","43","59","좋음"
"2022-02-09","14:25","경기","고양시 일산동구","일산로","경기도 고양시일산동구 백석동 1508도","경기도 고양시일산동구 정발산동 1486도","6","34","67","좋음"
"2022-02-09","14:47","경기","고양시 일산서구","강선로","경기도 고양시일산서구 일산동 1408도","경기도 고양시일산서구 주엽동 170도","6","32","106","보통"
"2022-02-09","15:01","경기","고양시 일산서구","후곡로","경기도 고양시일산서구 일산동 1392도","경기도 고양시일산서구 일산동 1408도","6","32","92","좋음"
"2022-02-09","15:04","경기","고양시 일산서구","경의로","경기도 고양시일산서구 덕이동 319-2도","경기도 고양시일산서구 일산동 1412도","5","32","23","매우좋음"
"2022-02-09","15:09","경기","고양시 일산서구","일산로","경기도 고양시일산서구 일산동 1485도","경기도 고양시일산서구 대화동 2560도","5","32","63","좋음"
"2022-02-09","15:38","경기","고양시 일산서구","중앙로","경기도 고양시일산서구 가좌동 157-12도","경기도 고양시일산서구 주엽동 166도","6","29","64","좋음"
"2022-02-10","14:23","경기","안성시","장기로","경기도 안성시 봉산동 92도","경기도 안성시 석정동 273-2도","7","35","263","매우나쁨"
"2022-02-10","14:42","경기","안성시","공도로","경기도 안성시 공도읍 만정리 676-2도","경기도 안성시 공도읍 용두리 731-2도","7","35","82","좋음"
"2022-02-10","15:08","경기","평택시","경기대로","경기도 평택시 진위면 갈곶리 265-8도","경기도 평택시 유천동","7","46","40","매우좋음"
"2022-02-10","15:29","경기","평택시","평택로","경기도 평택시 평택동 201-2도","경기도 평택시 세교동 400-58 도","7","45","122","보통"
"2022-02-10","12:18","경기","이천시","이섭대천로","경기도 이천시 호법면 매곡리 558-2 도","경기도 이천시 증포동 14-2 도","7","31","110","보통"
"2022-02-10","13:32","경기","이천시","구만리로","경기도 이천시 증일동 89-9 도","경기도 이천시 부발읍 마암리 446 도","7","28","220","매우나쁨"
"2022-02-10","13:44","경기","이천시","증신로","경기도 이천시 안흥동 159 도","경기도 이천시 신둔면 도암리 352-12 도","7","28","58","좋음"
"2022-02-10","14:29","경기","여주시","세종로","경기도 여주시 점봉동 230-14도","경기도 여주시 홍문동 86도","8","26","37","매우좋음"
"2022-02-10","13:33","서울","영등포구","국회대로","서울특별시 마포구 당인동 313 천","서울특별시 영등포구 양평동3가 57-5도","7","38","48","매우좋음"
"2022-02-10","13:48","서울","영등포구","영등포로","서울특별시 영등포구 양평동2가 42-1도","서울특별시 영등포구 신길동 산168도","7","38","4","매우좋음"
"2022-02-10","14:21","서울","구로구","구로중앙로","서울특별시 구로구 구로동 147-5 도","서울특별시 양천구 신정동 330-8제","8","39","27","매우좋음"
"2022-02-10","14:35","서울","구로구","경인로","서울특별시 구로구 신도림동 330-7도","서울특별시 구로구 온수동 44-23 도","8","40","16","매우좋음"
"2022-02-10","15:07","서울","구로구","서해안로","서울특별시 구로구 항동 산50-10 도","서울특별시 구로구 개봉동 237-12 철","7","42","4","매우좋음"
"2022-02-10","15:34","서울","금천구","독산로","서울특별시 금천구 독산동 996도","서울특별시 금천구 시흥동 1000-92도","8","40","15","매우좋음"
"2022-02-10","16:00","서울","금천구","시흥대로","서울특별시 관악구 신림동 1674-6도","서울특별시 금천구 시흥동 1001-42도","8","41","9","매우좋음"
"2022-02-11","14:34","경기","파주시","방촌로","경기도 파주시 문산읍 선유리 866-2도","경기도 파주시 교하동 539-1전","8","40","395","매우나쁨"
"2022-02-11","14:42","경기","파주시","개포래로","경기도 파주시 문산읍 문산리 140-17답","경기도 파주시 문산읍 문산리 17-31철","8","39","205","매우나쁨"
"2022-02-11","14:44","경기","파주시","문산역로","경기도 파주시 파주읍 봉서리 353-4도","경기도 파주시 문산읍 선유리 966-40답","8","38","429","매우나쁨"
"2022-02-11","15:01","경기","파주시","시청로","경기도 파주시 야동동 96-8도","경기도 파주시 금촌동 962-22도","8","36","136","보통"
"2022-02-11","15:05","경기","파주시","평화로","경기도 파주시 금촌동 962-22도","경기도 파주시 탄현면 성동리 625도","8","35","305","매우나쁨"
"2022-02-11","15:08","경기","파주시","중앙로","경기도 파주시 금촌동 329-10대","경기도 파주시 조리읍 등원리 294-6도","8","36","99","좋음"
"2022-02-11","15:24","경기","파주시","심학산로","경기도 파주시 와동동 1421도","경기도 파주시 문발동 541-3 도","8","39","8","매우좋음"
"2022-02-11","15:27","경기","파주시","미래로","경기도 파주시 동패동 22-3 도","경기도 파주시 당하동 650-1 도","8","39","37","매우좋음"
"2022-02-11","15:29","경기","파주시","와석순환로","경기도 파주시 야당동 998도","경기도 파주시 와동동 1421도","8","39","63","좋음"
"2022-02-14","10:56","서울","동작구","노량진로","서울특별시 동작구 대방동 117-7도","서울특별시 동작구 본동 475-1도","6","56","9","매우좋음"
"2022-02-14","11:10","서울","동작구","흑석한강로","서울특별시 동작구 흑석동 336-7 도","서울특별시 동작구 흑석동 25-2도","6","56","7","매우좋음"
"2022-02-14","11:35","서울","관악구","남부순환로","서울특별시 관악구 신림동 1674-6도","서울특별시 동작구 사당동 1112도","9","44","38","매우좋음"
"2022-02-14","13:10","서울","관악구","관악로","서울특별시 관악구 신림동 145-6 도","서울특별시 관악구 봉천동 1000-4도","9","43","31","매우좋음"
"2022-02-14","13:38","서울","서초구","서초대로","서울특별시 서초구 방배동 2989도","서울특별시 서초구 서초동 1373도","9","42","60","좋음"
"2022-02-14","13:48","서울","강남구","테헤란로","서울특별시 강남구 역삼동 858 도","서울특별시 강남구 삼성동 172-66 도","9","42","40","매우좋음"
"2022-02-14","14:04","서울","강남구","영동대로","서울특별시 강남구 개포동 146-5 도","서울특별시 광진구 자양동 158-17천","9","42","34","매우좋음"
"2022-02-14","14:11","서울","강남구","도산대로","서울특별시 강남구 청담동 77-4 도","서울특별시 강남구 논현동 280 도","10","42","67","좋음"
"2022-02-15","11:17","경기","구리시","아차산로","경기도 구리시 아천동 산42-6도","경기도 구리시 교문동 257-4도","-3","55","101","보통"
"2022-02-15","11:33","경기","구리시","건원대로","경기도 구리시 인창동 679-8 도","경기도 구리시 인창동 263-2도","-2","54","234","매우나쁨"
"2022-02-15","11:41","경기","구리시","검배로","경기도 구리시 수택동 360도","경기도 구리시 수택동 2-10도","-2","50","232","매우나쁨"
"2022-02-15","11:43","경기","구리시","벌말로","경기도 구리시 수택동 353 도","경기도 구리시 토평동 480-8 도","-2","49","208","매우나쁨"
"2022-02-15","12:12","경기","하남시","미사대로","경기도 하남시 선동 247-1제","경기도 하남시 배알미동 47-1수","-2","50","87","좋음"
"2022-02-15","13:59","경기","남양주시","늘을3로","경기도 남양주시 호평동 705-1 도","경기도 남양주시 호평동 685도","-3","48","445","매우나쁨"
"2022-02-15","14:35","경기","의정부시","천보로","경기도 의정부시 민락동 912 도","경기도 의정부시 금오동 382-2도","-3","48","108","보통"
"2022-02-15","15:03","경기","의정부시","호국로","경기도 양주시 장흥면 울대리 산46-2구","경기도 의정부시 자일동 산44-5도","-2","45","68","좋음"
"2022-02-15","15:18","경기","의정부시","동일로","경기도 의정부시 녹양동 8-7천","경기도 의정부시 장암동 385-25 도","-2","44","70","좋음"
"2022-02-15","15:26","경기","의정부시","경의로","경기도 의정부시 신곡동 748-1도","경기도 의정부시 의정부동 616도","-2","42","318","매우나쁨"
"2022-02-15","14:29","인천","서구","봉수대로","인천광역시 서구 가좌동 178-210도","인천광역시 서구 금곡동 516-13 도","-2","51","56","좋음"
"2022-02-15","14:59","경기","부천시","계남로","경기도 부천시 상동 21 도","경기도 부천시 중동 1285 도","-2","52","87","좋음"
"2022-02-15","15:22","경기","부천시","오정로","인천광역시 계양구 서운동 154-32 천","경기도 부천시 고강동 69-3 도","-2","52","72","좋음"
"2022-02-15","16:13","인천","서구","드림로","인천광역시 서구 당하동 661-12도","인천광역시 서구 왕길동 64-24 도","-2","49","24","매우좋음"
"2022-02-15","16:33","인천","서구","원당대로","인천광역시 서구 오류동 1114 답","인천광역시 서구 원당동 8-2답","-2","47","80","좋음"
"2022-02-16","11:42","서울","중랑구","동일로","서울특별시 중랑구 묵동 329천","서울특별시 중랑구 면목동 718-1답","-4","38","57","좋음"
"2022-02-16","12:05","서울","중랑구","망우로","서울특별시 중랑구 상봉동 474-26천","서울특별시 중랑구 망우동 산52-4임","-5","40","67","좋음"
"2022-02-16","12:42","서울","성북구","화랑로","서울특별시 성북구 석관동 375천","서울특별시 성북구 장위동 2-2도","-5","40","43","매우좋음"
"2022-02-16","12:50","서울","성북구","정릉로","서울특별시 성북구 하월곡동 104-134 천","서울특별시 성북구 정릉동 산87-1 임","-5","40","21","매우좋음"
"2022-02-16","13:12","서울","성북구","안암로","서울특별시 성북구 종암동 29-18도","서울특별시 동대문구 신설동 397-2 도","-4","36","57","좋음"
"2022-02-16","13:17","서울","성북구","보문로","서울특별시 성북구 보문동7가 119-1도","서울특별시 성북구 동소문동5가 50-25도","-5","36","38","매우좋음"
"2022-02-16","14:39","서울","성북구","종암로","서울특별시 성북구 종암동 29-18도","서울특별시 성북구 하월곡동 200도","-3","32","31","매우좋음"
"2022-02-16","15:23","서울","강서구","공항대로","서울특별시 강서구 방화동 621-4도","서울특별시 양천구 목동 560도","-4","34","54","좋음"
"2022-02-16","15:40","서울","강서구","마곡중앙로","서울특별시 강서구 내발산동 751-2 도","서울특별시 강서구 마곡동 228-5제","-4","36","384","매우나쁨"
"2022-02-16","15:52","서울","강서구","양천로","서울특별시 강서구 방화동 515-4도","서울특별시 강서구 염창동 259-8제","-4","36","131","보통"
"2022-02-16","11:16","경기","광명시","광명로","경기도 광명시 광명동 158-963천","경기도 광명시 가학동 896-3도","-4","39","77","좋음"
"2022-02-16","11:31","경기","광명시","오리로","경기도 광명시 일직동 372-15임","경기도 광명시 광명동 776-10천","-5","37","24","매우좋음"
"2022-02-16","13:55","인천","부평구","부평대로","인천광역시 부평구 갈산동 423도","인천광역시 부평구 부평동 224-1도","-4","40","26","매우좋음"
"2022-02-16","14:16","인천","부평구","마장로","인천광역시 부평구 십정동 596도","인천광역시 부평구 청천동 372도","-5","43","28","매우좋음"
"2022-02-16","14:36","인천","부평구","부평북로","인천광역시 부평구 삼산동 395-3도","인천광역시 부평구 청천동 372-5도","-4","42","18","매우좋음"
"2022-02-16","14:55","인천","계양구","봉오대로","인천광역시 계양구 서운동 121-17 천","인천광역시 계양구 효성동 산67-12 임","-4","39","25","매우좋음"
"2022-02-16","15:42","인천","계양구","서부간선로","인천광역시 계양구 작전동 941도","인천광역시 계양구 박촌동 5-2도","-3","40","37","매우좋음"
"2022-02-16","16:01","인천","계양구","경명대로","인천광역시 계양구 박촌동 299 천","인천광역시 계양구 계산동 산 52-5 임","-4","40","20","매우좋음"
"2022-02-17","14:14","세종","-","한누리대로","세종특별자치시 세종특별자치시 대평동 643 도","세종특별자치시 세종특별자치시 대평동 265-9 도","-2","35","23","매우좋음"
"2022-02-17","15:19","대전","대덕구","신탄진로","대전광역시 대덕구 신탄진동 756천","대전광역시 대덕구 읍내동 519-6 도","-1","33","14","매우좋음"
"2022-02-17","15:31","대전","동구","동서대로","대전광역시 동구 가양동 665도","대전광역시 동구 삼성동 458도","-1","32","5","매우좋음"
"2022-02-17","15:57","대전","서구","도산로","대전광역시 서구 용문동 204 천","대전광역시 서구 도마동 440-2천","0","31","46","매우좋음"
"2022-02-17","16:36","대전","유성구","온천동로","대전광역시 유성구 봉명동 4-1도","대전광역시 유성구 봉명동 1058도","0","32","96","좋음"
"2022-02-17","16:40","대전","유성구","도안동로","대전광역시 유성구 봉명동 1058도","대전광역시 유성구 원신흥동 609 도","0","32","22","매우좋음"
"2022-02-17","16:50","대전","유성구","원신흥로","대전광역시 유성구 원신흥동 589도","대전광역시 유성구 상대동 498도","0","32","63","좋음"
"2022-02-17","16:56","대전","유성구","도안대로","대전광역시 유성구 대정동 737-1도","대전광역시 유성구 봉명동 1058도","-1","33","32","매우좋음"
"2022-02-17","17:03","대전","유성구","대학로","대전광역시 유성구 봉명동 1058도","대전광역시 유성구 가정동 50도","0","33","20","매우좋음"
"2022-02-17","12:58","충남","홍성군","충남대로","충청남도 홍성군 홍북읍 신경리 1905 도","충청남도 홍성군 홍북읍 신정리 518전","-3","41","323","매우나쁨"
"2022-02-17","13:44","충남","청양군","칠갑산로","충청남도 청양군 청양읍 장승리 111-13 도","충청남도 청양군 목면 송암리 315-1 천","-3","42","131","보통"
"2022-02-17","13:50","충남","청양군","문화예술로","충청남도 청양군 청양읍 벽천리 599 도","충청남도 청양군 청양읍 송방리 75-2 도","-3","42","125","보통"
"2022-02-17","13:53","충남","청양군","중앙로","충청남도 청양군 청양읍 학당리 220-10 도","충청남도 청양군 청양읍 벽천리 245-3 도","-2","40","47","매우좋음"
"2022-02-17","13:59","충남","청양군","충절로","충청남도 청양군 남양면 온직리 산83-10 임","충청남도 청양군 비봉면 장재리 353-9 답","-2","42","110","보통"
"2022-02-17","14:31","충남","보령시","주공로","충청남도 보령시 동대동 1958도","충청남도 보령시 명천동 324-2도","-1","38","159","나쁨"
"2022-02-17","14:37","충남","보령시","충서로","충청남도 보령시 청소면 죽림리 415-82제","충청남도 보령시 주산면 신구리 668 도","-1","46","38","매우좋음"
"2022-02-17","12:04","인천","남동구","남동대로","인천광역시 남동구 간석동 215-1도","인천광역시 남동구 고잔동 793 도","-5","37","36","매우좋음"
"2022-02-17","12:19","인천","남동구","소래로","인천광역시 남동구 만수동 990도","인천광역시 남동구 논현동 111-392 도","-4","34","32","매우좋음"
"2022-02-17","13:46","경기","시흥시","공단3대로","경기도 시흥시 정왕동 2207-24천","경기도 시흥시 정왕동 2207-26 도","-3","35","22","매우좋음"
"2022-02-17","14:04","경기","시흥시","시화벤처로","경기도 시흥시 정왕동 2595-1도","경기도 시흥시 정왕동","-3","38","75","좋음"
"2022-02-17","14:23","경기","시흥시","마유로","경기도 시흥시 정왕동 2207-18도","경기도 시흥시 계수동 산 111-12임","-2","32","24","매우좋음"
"2022-02-17","14:53","경기","시흥시","계수로","경기도 시흥시 계수동 747-19도","경기도 시흥시 과림동 79-4도","-3","31","33","매우좋음"
"2022-02-17","15:33","인천","남동구","논현고잔로","인천광역시 남동구 고잔동 512-27 도","인천광역시 남동구 논현동 685도","-1","29","83","좋음"
"2022-02-17","15:48","인천","남동구","청능대로","인천광역시 남동구 논현동 26-1 도","인천광역시 남동구 고잔동 743제","-1","30","39","매우좋음"
"2022-02-17","16:17","인천","미추홀구","인주대로","인천광역시 미추홀구 주안동 1484도","인천광역시 미추홀구 숭의동 440-16 철","-1","32","34","매우좋음"
"2022-02-17","16:41","인천","연수구","능허대로","인천광역시 연수구 옥련동 605-1도","인천광역시 연수구 동춘동 958 도","-1","34","101","보통"
"2022-02-17","16:56","인천","연수구","비류대로","인천광역시 연수구 선학동 384도","인천광역시 연수구 옥련동 605-1도","-1","33","61","좋음"
"2022-02-17","17:11","인천","연수구","송도국제대로","인천광역시 연수구 동춘동 916-3 도","인천광역시 연수구 송도동 39 도","-2","38","18","매우좋음"
"2022-02-17","17:43","인천","미추홀구","독배로","인천광역시 미추홀구 학익동 626-7 도","인천광역시 미추홀구 숭의동 162-14도","-2","37","47","매우좋음"
"2022-02-18","09:43","대전","중구","중앙로","대전광역시 중구 은행동 331천","대전광역시 중구 용두동 155도","-3","49","57","좋음"
"2022-02-18","10:53","충남","논산시","대학로","충청남도 논산시 관촉동 376-1 구","충청남도 논산시 내동 494-24 도","0","41","71","좋음"
"2022-02-18","10:58","충남","논산시","득안대로","충청남도 논산시 연무읍 마전리 138 도","충청남도 공주시 계룡면 월곡리 42-6답","1","40","13","매우좋음"
"2022-02-18","11:43","충남","계룡시","계룡대로","충청남도 계룡시 신도안면 남선리 산1-14 도","충청남도 계룡시 두마면 왕대리 174-4도","2","29","150","보통"
"2022-02-18","10:46","충남","태안군","원이로","충청남도 태안군 태안읍 남문리 404-8 도","충청남도 태안군 이원면 내리 41-10 잡","0","37","89","좋음"
"2022-02-18","11:09","충남","태안군","후곡로","충청남도 태안군 태안읍 동문리 911도","충청남도 태안군 태안읍 남문리 728도","0","35","445","매우나쁨"
"2022-02-18","11:15","충남","태안군","중앙로","충청남도 태안군 태안읍 남문리 667-1구","충청남도 태안군 태안읍 평천리 679-6전","1","36","213","매우나쁨"
"2022-02-18","11:39","충남","서산시","남부순환로","충청남도 서산시 예천동 67 도","충청남도 서산시 수석동 563-1도","2","31","40","매우좋음"
"2022-02-18","12:21","충남","당진시","동부로","충청남도 당진시 원당동 440-16 답","충청남도 당진시 수청동 754-1 도","2","30","38","매우좋음"
"2022-02-18","12:28","충남","당진시","남부로","충청남도 당진시 합덕읍 합덕리 147-14도","충청남도 당진시 행정동 산33-6도","3","29","64","좋음"
"2022-02-21","14:27","충북","단양군","여천덕천로","충청북도 단양군 가곡면 사평리 산79-19도","충청북도 단양군 매포읍 하괴리 176-7도","0","68","289","매우나쁨"
"2022-02-21","15:44","충북","충주시","계명대로","충청북도 충주시 칠금동 188-9도","충청북도 충주시 연수동 1754 도","4","40","464","매우나쁨"
"2022-02-21","15:58","충북","충주시","국원대로","충청북도 충주시 문화동 572도","충청북도 충주시 용탄동 1138도","4","32","117","보통"
"2022-02-21","13:42","서울","노원구","노원로","서울특별시 노원구 상계동","서울특별시 노원구 공릉동 70-2도","3","53","17","매우좋음"
"2022-02-21","14:13","서울","도봉구","덕릉로","서울특별시 도봉구 창동 756-164 천","서울특별시 도봉구 창동 737-8천","4","46","51","좋음"
"2022-02-21","14:27","서울","도봉구","노해로","서울특별시 도봉구 쌍문동 358-7도","서울특별시 도봉구 창동 21-1천","3","50","8","매우좋음"
"2022-02-21","14:37","서울","노원구","상계로","서울특별시 노원구 상계동 739-4도","서울특별시 노원구 상계동 66답","3","52","47","매우좋음"
"2022-02-21","14:51","서울","노원구","수락산로","서울특별시 노원구 상계동 95-376천","서울특별시 노원구 상계동 660도","3","53","109","보통"
"2022-02-22","09:58","충북","제천시","의림대로","충청북도 제천시 화산동 260도","충청북도 제천시 송학면 도화리 산10-13임","-5","34","2008","매우나쁨"
"2022-02-22","11:26","충북","음성군","원중로","충청북도 음성군 맹동면 본성리 산65-4 도","충청북도 음성군 원남면 보천리 392-3도","-2","33","583","매우나쁨"
"2022-02-22","13:06","충북","진천군","문화로","충청북도 진천군 진천읍 신정리 504-2 도","충청북도 진천군 진천읍 신정리 506 답","0","37","26","매우좋음"
"2022-02-22","13:49","충북","청주시 청원구","중부로","충청북도 청주시 청원구 오창읍 각리 662도","충청북도 청주시 청원구 오창읍 여천리 553-9 천","1","36","6","매우좋음"
"2022-02-22","14:17","충북","청주시 흥덕구","풍산로","충청북도 청주시 흥덕구 복대동 1916도","충청북도 청주시 흥덕구 가경동 1448도","2","33","97","좋음"
"2022-02-22","15:01","충남","천안시 동남구","천안대로","충청남도 천안시동남구 목천읍 삼성리 42-2도","충청남도 천안시서북구 두정동","2","41","172","나쁨"
"2022-02-22","15:22","충남","천안시 서북구","불당대로","충청남도 천안시서북구 쌍용동 516도","충청남도 천안시서북구 불당동 1447 도","2","41","62","좋음"
"2022-02-22","13:16","서울","광진구","천호대로","서울특별시 광진구 중곡동 680-16제","서울특별시 광진구 광장동 557-1천","0","33","31","매우좋음"
"2022-02-22","13:38","서울","광진구","아차산로","서울특별시 광진구 자양동 23-11구","서울특별시 광진구 광장동 2-6임","0","36","38","매우좋음"
"2022-02-22","13:59","서울","성동구","고산자로","서울특별시 성동구 성수동1가 701-1천","서울특별시 성동구 마장동 610-10천","0","35","22","매우좋음"
"2022-02-22","14:16","서울","동대문구","답십리로","서울특별시 동대문구 전농동 625-1 도","서울특별시 동대문구 장안동 7-16 천","0","36","44","매우좋음"
"2022-02-22","14:25","서울","동대문구","서울시립대로","서울특별시 동대문구 전농동 150-84 도","서울특별시 동대문구 답십리동 524-1도","1","35","87","좋음"
"2022-02-22","14:44","서울","동대문구","천호대로","서울특별시 동대문구 장안동 204-17 천","서울특별시 동대문구 신설동 85-1도","1","35","41","매우좋음"
"2022-02-22","15:30","서울","강북구","인수봉로","서울특별시 강북구 미아동 1354-12 도","서울특별시 강북구 수유동 565-1도","0","36","18","매우좋음"
"2022-02-22","15:40","서울","강북구","한천로","서울특별시 강북구 수유동 279-7 도","서울특별시 강북구 번동 612-3천","1","35","28","매우좋음"
"2022-02-22","16:01","서울","강북구","도봉로","서울특별시 강북구 미아동 864-37도","서울특별시 강북구 미아동 14-2도","0","34","17","매우좋음"
"2022-02-23","09:33","충남","아산시","용연로","충청남도 아산시 배방읍 장재리 2046 도","충청남도 아산시 배방읍 세교리 422-33 도","-5","45","619","매우나쁨"
"2022-02-23","09:41","충남","아산시","새아산로","충청남도 아산시 배방읍 장재리 2046 도","충청남도 아산시 배방읍 장재리 500-16 전","-5","46","615","매우나쁨"
"2022-02-23","09:46","충남","아산시","연화로","충청남도 아산시 배방읍 장재리 2108 도","충청남도 아산시 배방읍 장재리 2027 도","-5","46","349","매우나쁨"
"2022-02-23","09:58","충남","아산시","온천대로","충청남도 아산시 배방읍 휴대리 171-4답","충청남도 아산시 도고면 효자리 210도","-4","47","290","매우나쁨"
"2022-02-23","10:14","충남","아산시","문화로","충청남도 아산시 방축동 678도","충청남도 아산시 모종동 467-3 도","-4","48","220","매우나쁨"
