"측정일자","측정시간","지역","지역명","도로명","시작점","종점","기온","습도","재비산먼지평균농도","오염범례"
"2023-01-02","13:07","세종","세종","세종로(남→북)","세종특별자치시 세종특별자치시 금남면 두만리 42-11 임","세종특별자치시 세종특별자치시 소정면 대곡리 352-2 도","2","37","127","보통"
"2023-01-02","13:35","세종","세종","한누리대로(서→동)","세종특별자치시 세종특별자치시 대평동 643 도","세종특별자치시 세종특별자치시 대평동 265-9 도","2","38","93","좋음"
"2023-01-02","14:47","대전","유성구","원신흥로(동→서)","대전광역시 유성구 원신흥동 589도","대전광역시 유성구 상대동 498도","2","34","176","나쁨"
"2023-01-02","14:51","대전","유성구","도안대로(남→북)","대전광역시 유성구 대정동 737-1도","대전광역시 유성구 봉명동 1058도","2","34","68","좋음"
"2023-01-02","15:00","대전","유성구","대학로(서→동)","대전광역시 유성구 봉명동 1058도","대전광역시 유성구 가정동 50도","3","34","100","좋음"
"2023-01-02","15:06","대전","유성구","온천동로(북→남)","대전광역시 유성구 봉명동 4-1도","대전광역시 유성구 봉명동 1058도","3","35","281","매우나쁨"
"2023-01-02","15:10","대전","유성구","도안동로(북→남)","대전광역시 유성구 봉명동 1058도","대전광역시 유성구 원신흥동 609 도","3","34","53","좋음"
"2023-01-02","15:28","대전","서구","도산로(남→북)","대전광역시 서구 도마동 440-2천","대전광역시 서구 용문동 204 천","3","34","195","나쁨"
"2023-01-02","15:43","대전","중구","중앙로(서→동)","대전광역시 중구 용두동 155도","대전광역시 중구 은행동 331천","3","34","111","보통"
"2023-01-02","15:58","대전","동구","동서대로(서→동)","대전광역시 동구 삼성동 458도","대전광역시 동구 가양동 665도","2","36","83","좋음"
"2023-01-02","16:17","대전","대덕구","신탄진로(남→북)","대전광역시 대덕구 읍내동 519-6 도","대전광역시 대덕구 신탄진동 756천","2","41","23","매우좋음"
"2023-01-03","09:54","충북","보은군","남부로(남→북)","충청북도 보은군 삼승면 내망리 660-1도","충청북도 보은군 내북면 봉황리 285도","-8","92","2","매우좋음"
"2023-01-03","10:00","충북","보은군","월송로(북→남)","충청북도 보은군 보은읍 이평리 192-34천","충청북도 보은군 보은읍 월송리 303-2전","-8","90","1","매우좋음"
"2023-01-03","10:52","충북","청주시 흥덕구","풍산로(서→동)","충청북도 청주시 흥덕구 가경동 1448도","충청북도 청주시 흥덕구 복대동 1916도","-2","53","17","매우좋음"
