"측정일자","측정시간","지역","지역명","도로명","시작점","종점","기온","습도","재비산먼지 평균농도","오염범례"
"2022-12-01","12:19","경기","평택시","청북남로(동→서)","경기도 평택시 청북읍 후사리 373-6도","경기도 평택시 청북읍 옥길리 1201도","-1","32","83","좋음"
"2022-12-01","12:37","경기","평택시","안청로1길(북→남)","경기도 평택시 청북읍 옥길리 1202도","경기도 평택시 청북읍 옥길리 1217도","-1","34","75","좋음"
"2022-12-01","12:42","경기","평택시","안청로(남→북)","경기도 평택시 안중읍 현화리 637-14 도","경기도 평택시 청북읍 옥길리 150-170 답","-1","33","103","보통"
"2022-12-01","13:01","경기","평택시","안현로서9길(북→남)","경기도 평택시 안중읍 현화리 산276-1전","경기도 평택시 안중읍 현화리 870도","-1","34","61","좋음"
"2022-12-01","13:09","경기","평택시","안현로서7길(동→서)","경기도 평택시 안중읍 현화리 907도","경기도 평택시 안중읍 현화리 877도","-1","34","171","나쁨"
"2022-12-01","13:14","경기","평택시","안현로서6길(서→동)","경기도 평택시 안중읍 현화리 877도","경기도 평택시 안중읍 현화리 889도","-1","37","93","좋음"
"2022-12-01","13:36","경기","평택시","평택항만길(남→북)","경기도 평택시 포승읍 만호리 산60-1도","경기도 평택시 포승읍 원정리 1205-8도","-1","37","55","좋음"
"2022-12-01","13:48","경기","평택시","포승공단순환로(북→남)","경기도 평택시 포승읍 원정리 1204-6도","경기도 평택시 포승읍 만호리 565-2도","-1","38","103","보통"
"2022-12-01","14:04","경기","평택시","평택항로(남→북)","경기도 평택시 포승읍 만호리 산60-1도","경기도 평택시 포승읍 도곡리 208-6도","0","38","216","매우나쁨"
"2022-12-01","14:23","경기","평택시","평택항로156번길(동→서)","경기도 평택시 포승읍 내기리 683 도","경기도 평택시 포승읍 만호리 604도","0","37","311","매우나쁨"
"2022-12-01","14:30","경기","평택시","포승공단로(서→동)","경기도 평택시 포승읍 원정리 1206-15도","경기도 평택시 포승읍 도곡리 1206도","0","38","202","매우나쁨"
"2022-12-01","10:03","인천","남동구","경인로(북→남)","인천광역시 남동구 간석동 776도","인천광역시 남동구 간석동 540도","-4","27","20","매우좋음"
"2022-12-01","10:18","인천","남동구","석정로(동→서)","인천광역시 남동구 간석동 613-6도","인천광역시 남동구 간석동 618-5도","-4","27","20","매우좋음"
"2022-12-01","10:28","인천","남동구","석산로(북→남)","인천광역시 남동구 간석동 396구","인천광역시 남동구 간석동 923-3도","-4","28","15","매우좋음"
"2022-12-01","10:49","인천","남동구","만수서로(서→동)","인천광역시 남동구 만수동 990도","인천광역시 남동구 만수동 391도","-4","28","13","매우좋음"
"2022-12-01","10:54","인천","남동구","수현로(동→서)","인천광역시 남동구 장수동 397-6 도","인천광역시 남동구 만수동 822-40 도","-4","29","22","매우좋음"
"2022-12-01","11:02","인천","남동구","담방로(북→남)","인천광역시 남동구 장수동 681-2도","인천광역시 남동구 만수동 1070도","-3","28","22","매우좋음"
"2022-12-01","11:11","인천","남동구","장승남로(서→동)","인천광역시 남동구 수산동 13-15도","인천광역시 남동구 만수동 1037-1잡","-4","29","17","매우좋음"
"2022-12-01","11:15","인천","남동구","매소홀로(동→서)","인천광역시 남동구 운연동 229-20 답","인천광역시 남동구 구월동 828-2천","-3","30","25","매우좋음"
"2022-12-01","11:29","인천","남동구","인하로(동→서)","인천광역시 남동구 구월동 1583 도","인천광역시 남동구 구월동 1335-4 도","-3","30","15","매우좋음"
"2022-12-01","11:35","인천","남동구","예술로(남→북)","인천광역시 남동구 구월동 1335-4 도","인천광역시 부평구 십정동 526-7도","-3","31","19","매우좋음"
"2022-12-01","11:43","인천","남동구","백범로(서→동)","인천광역시 남동구 간석동 215-1도","인천광역시 남동구 장수동 657-2도","-3","32","18","매우좋음"
"2022-12-01","11:58","인천","남동구","수인로(서→동)","인천광역시 남동구 장수동 657-2도","인천광역시 남동구 운연동 49-9도","-3","33","13","매우좋음"
"2022-12-01","12:00","인천","남동구","인주대로(동→서)","인천광역시 남동구 운연동 107-1도","인천광역시 남동구 구월동 1335-5 도","-3","33","24","매우좋음"
"2022-12-01","13:24","인천","남동구","문화로(북→남)","인천광역시 남동구 간석동 397-1 도","인천광역시 남동구 구월동 1335-4 도","-1","40","16","매우좋음"
"2022-12-01","13:39","인천","남동구","구월로(서→동)","인천광역시 남동구 간석동 925도","인천광역시 남동구 만수동 990도","-2","44","28","매우좋음"
"2022-12-01","13:54","인천","남동구","소래로(북→남)","인천광역시 남동구 만수동 990도","인천광역시 남동구 논현동 111-392 도","-2","43","20","매우좋음"
"2022-12-01","14:08","인천","남동구","아암대로(동→서)","인천광역시 남동구 논현동 111-463 도","인천광역시 남동구 고잔동 793 도","-1","43","20","매우좋음"
"2022-12-01","14:16","인천","남동구","논현고잔로(남→북)","인천광역시 남동구 고잔동 512-27 도","인천광역시 남동구 논현동 685도","-1","45","47","매우좋음"
"2022-12-01","14:31","인천","남동구","앵고개로(동→서)","인천광역시 남동구 논현동 26-1 도","인천광역시 남동구 고잔동 744천","-1","45","36","매우좋음"
"2022-12-02","11:02","경기","양평군","마유산로(북→남)","경기도 양평군 옥천면 신복리 산189-21임","경기도 양평군 양평읍 양근리 505-1도","-3","46","105","보통"
"2022-12-02","11:06","경기","양평군","양근로(서→동)","경기도 양평군 양평읍 오빈리 119-3도","경기도 양평군 양평읍 회현리 10-74도","-3","45","102","보통"
"2022-12-02","11:09","경기","양평군","중앙로(서→동)","경기도 양평군 양평읍 양근리 85-3 도","경기도 양평군 양평읍 대흥리 779-1도","-3","45","531","매우나쁨"
"2022-12-02","14:15","인천","동구","송현로(동→서)","인천광역시 동구 송현동 23-16수","인천광역시 동구 송현동 70-2도","1","26","55","좋음"
"2022-12-02","14:37","인천","동구","화도진로(북→남)","인천광역시 동구 만석동 9-41 도","인천광역시 동구 송림동 234-8도","1","29","9","매우좋음"
"2022-12-02","14:43","인천","동구","송림로(서→동)","인천광역시 동구 창영동 179-1철","인천광역시 동구 송림동 4-198도","1","27","20","매우좋음"
"2022-12-02","14:50","인천","동구","인중로(동→서)","인천광역시 동구 송림동 4-1 도","인천광역시 동구 만석동 43-187도","1","28","41","매우좋음"
