"측정일자","측정시간","지역","지역명","도로명","시작점","종점","기온","습도","재비산먼지 평균농도","오염범례"
"2023-03-02","10:09","서울","영등포구","국회대로(동→서)","서울특별시 마포구 당인동 313 천","서울특별시 영등포구 양평동3가 57-5도","2","29","227","매우나쁨"
"2023-03-02","10:29","서울","영등포구","영등포로(서→동)","서울특별시 영등포구 양평동2가 42-1도","서울특별시 영등포구 신길동 산168도","3","27","76","좋음"
"2023-03-02","11:02","서울","동작구","흑석한강로(남→북)","서울특별시 동작구 흑석동 336-7 도","서울특별시 동작구 흑석동 25-2도","2","27","183","나쁨"
"2023-03-02","11:08","서울","동작구","노량진로(동→서)","서울특별시 동작구 본동 475-1도","서울특별시 동작구 대방동 117-7도","3","26","83","좋음"
"2023-03-02","11:30","서울","관악구","남부순환로(서→동)","서울특별시 관악구 신림동 1674-6도","서울특별시 동작구 사당동 1112도","4","25","63","좋음"
"2023-03-02","12:36","서울","관악구","관악로(남→북)","서울특별시 관악구 신림동 145-6 도","서울특별시 관악구 봉천동 1000-4도","5","24","34","매우좋음"
"2023-03-02","11:16","서울","도봉구","노해로(서→동)","서울특별시 도봉구 쌍문동 358-7도","서울특별시 도봉구 창동 21-1천","4","24","32","매우좋음"
"2023-03-02","11:24","서울","도봉구","덕릉로(동→서)","서울특별시 도봉구 창동 756-164 천","서울특별시 도봉구 창동 737-8천","5","23","19","매우좋음"
"2023-03-02","13:03","서울","강북구","도봉로(북→남)","서울특별시 강북구 번동 655-1천","서울특별시 강북구 미아동 14-2도","6","21","20","매우좋음"
"2023-03-02","13:27","서울","성북구","한천로(북→남)","서울특별시 성북구 장위동 311-42 천","서울특별시 성북구 석관동 43-1도","6","21","21","매우좋음"
"2023-03-02","13:38","서울","성북구","돌곶이로(남→북)","서울특별시 성북구 석관동 332-5도","서울특별시 성북구 장위동 310-22 도","6","21","26","매우좋음"
"2023-03-02","13:49","서울","강북구","한천로(동→서)","서울특별시 강북구 번동 612-3천","서울특별시 강북구 수유동 279-7 도","6","22","52","좋음"
"2023-03-02","14:04","서울","강북구","인수봉로(북→남)","서울특별시 강북구 수유동 565-1도","서울특별시 강북구 미아동 1354-12 도","6","23","29","매우좋음"
"2023-03-02","14:29","서울","성북구","보문로(북→남)","서울특별시 성북구 동소문동5가 50-25도","서울특별시 성북구 보문동7가 119-1도","6","22","21","매우좋음"
"2023-03-02","14:53","서울","성북구","화랑로(동→서)","서울특별시 성북구 석관동 375천","서울특별시 성북구 장위동 2-2도","6","23","15","매우좋음"
"2023-03-02","15:03","서울","성북구","정릉로(동→서)","서울특별시 성북구 하월곡동 104-134 천","서울특별시 성북구 정릉동 산87-1 임","6","23","13","매우좋음"
"2023-03-02","11:09","경기","평택시","평택로(남→북)","경기도 평택시 평택동 201-2도","경기도 평택시 세교동 400-58 도","5","27","28","매우좋음"
"2023-03-02","11:23","경기","평택시","경기대로(북→남)","경기도 평택시 진위면 갈곶리 265-8도","경기도 평택시 유천동","5","27","19","매우좋음"
"2023-03-02","11:53","경기","안성시","공도로(서→동)","경기도 안성시 공도읍 용두리 731-2도","경기도 안성시 공도읍 만정리 676-2도","6","25","57","좋음"
"2023-03-02","11:57","경기","안성시","공도4로(남→북)","경기도 안성시 공도읍 만정리 838도","경기도 안성시 공도읍 만정리 836도","5","26","106","보통"
"2023-03-02","12:00","경기","안성시","덕봉서원로(남→북)","경기도 안성시 공도읍 만정리 836도","경기도 안성시 양성면 동항리 797도","5","26","51","좋음"
"2023-03-02","12:21","경기","안성시","보개원삼로(남→북)","경기도 안성시 봉산동 92도","경기도 안성시 보개면 북가현리 산174-1임","6","24","73","좋음"
"2023-03-02","12:22","경기","안성시","비봉로(서→동)","경기도 안성시 가사동 77-14답","경기도 안성시 가사동 47-20도","5","25","134","보통"
"2023-03-02","13:43","경기","오산시","경기대로(남→북)","경기도 오산시 갈곶동 233도","경기도 오산시 세교동 160-11도","7","26","21","매우좋음"
"2023-03-02","11:41","경기","성남시 분당구","성남대로(남→북)","경기도 성남시 분당구 구미동 197-1도","경기도 성남시 분당구 야탑동 487-1도","4","22","15","매우좋음"
"2023-03-02","12:36","경기","성남시 분당구","분당로(동→서)","경기도 성남시 분당구 분당동 199-1도","경기도 성남시 분당구 서현동 282-2도","5","20","51","좋음"
"2023-03-02","14:15","경기","수원시 영통구","봉영로(북→남)","경기도 용인시기흥구 영덕동 829-4도","경기도 수원시 영통구 망포동 574-6 도","6","27","12","매우좋음"
"2023-03-02","14:26","경기","수원시 영통구","영통로(남→북)","경기도 수원시 영통구 망포동 678 구","경기도 용인시기흥구 영덕동 861도","5","28","49","매우좋음"
"2023-03-02","15:14","경기","수원시 권선구","매송고색로(동→서)","경기도 수원시 권선구 세류동 201도","경기도 수원시 권선구 오목천동 산29-4도","5","30","40","매우좋음"
"2023-03-02","15:37","경기","수원시 권선구","서수원로(남→북)","경기도 수원시 권선구 오목천동 756-1 도","경기도 수원시 권선구 당수동 산25-1임","5","31","51","좋음"
"2023-03-02","16:04","경기","수원시 장안구","경수대로(북→남)","경기도 수원시 장안구 파장동 산45임","경기도 수원시 장안구 연무동 161-13 도","5","32","21","매우좋음"
"2023-03-02","16:26","경기","수원시 팔달구","수성로(동→서)","경기도 수원시 팔달구 화서동 360-1도","경기도 수원시 팔달구 화서동 360-1도","5","34","186","나쁨"
"2023-03-02","16:35","경기","수원시 팔달구","화산로(남→북)","경기도 수원시 팔달구 화서동 689-4구","경기도 수원시 팔달구 화서동 712-1도","4","34","48","매우좋음"
"2023-03-06","12:05","경기","안성시","보개원삼로(남→북)","경기도 안성시 봉산동 92도","경기도 안성시 보개면 북가현리 산174-1임","14","23","41","매우좋음"
"2023-03-06","12:06","경기","안성시","비봉로(서→동)","경기도 안성시 가사동 77-14답","경기도 안성시 가사동 47-20도","14","24","87","좋음"
"2023-03-06","13:12","경기","안성시","공도로(서→동)","경기도 안성시 공도읍 용두리 731-2도","경기도 안성시 공도읍 만정리 676-2도","15","19","267","매우나쁨"
"2023-03-06","13:24","경기","안성시","공도4로(남→북)","경기도 안성시 공도읍 만정리 838도","경기도 안성시 공도읍 만정리 836도","15","20","191","나쁨"
"2023-03-06","13:27","경기","안성시","덕봉서원로(남→북)","경기도 안성시 공도읍 만정리 836도","경기도 안성시 양성면 동항리 797도","16","21","32","매우좋음"
"2023-03-06","14:12","경기","평택시","경기대로(북→남)","경기도 평택시 진위면 갈곶리 265-8도","경기도 평택시 유천동","17","21","25","매우좋음"
"2023-03-06","14:29","경기","평택시","평택로(남→북)","경기도 평택시 평택동 201-2도","경기도 평택시 세교동 400-58 도","17","19","31","매우좋음"
"2023-03-06","15:13","경기","오산시","경기대로(남→북)","경기도 오산시 갈곶동 233도","경기도 오산시 세교동 160-11도","17","22","28","매우좋음"
"2023-03-13","10:22","서울","강서구","양천로(동→서)","서울특별시 강서구 염창동 259-8제","서울특별시 강서구 방화동 515-4도","4","27","28","매우좋음"
"2023-03-13","10:32","서울","강서구","마곡중앙로(북→남)","서울특별시 강서구 마곡동 228-5제","서울특별시 강서구 내발산동 751-2 도","3","29","157","나쁨"
"2023-03-13","10:43","서울","강서구","공항대로(동→서)","서울특별시 양천구 목동 560도","서울특별시 강서구 방화동 621-4도","3","28","113","보통"
"2023-03-13","13:36","서울","양천구","목동서로(북→남)","서울특별시 양천구 목동 910-2제","서울특별시 양천구 신정동 324-4도","6","23","19","매우좋음"
"2023-03-13","13:56","서울","양천구","목동동로(서→동)","서울특별시 양천구 신정동 574-1도","서울특별시 양천구 목동 910-2제","6","24","13","매우좋음"
"2023-03-13","14:14","서울","영등포구","영등포로(서→동)","서울특별시 영등포구 양평동2가 42-1도","서울특별시 영등포구 신길동 산168도","7","25","11","매우좋음"
