"측정일자","측정시간","지역","지역명","도로명","시작점","종점","기온","습도","재비산먼지평균농도","오염범례"
"2022-01-04","14:00","경기","여주시","세종로","경기도 여주시 홍문동 4","경기도 여주시 점봉동 231","3","34","111","보통"
"2022-01-04","14:45","경기","이천시","이섭대천로","경기도 이천시 호법면 유산리 327-3","경기도 이천시 율현동 1-3","3","34","217","매우나쁨"
"2022-01-04","14:50","경기","이천시","구만리로","경기도 이천시 진리동 374-4","경기도 이천시 갈산동 741","3","28","768","매우나쁨"
"2022-01-04","14:59","경기","이천시","증신로","경기도 이천시 안흥동 433","경기도 이천시 신둔면 도암리 886-9","3","28","314","매우나쁨"
"2022-01-05","13:00","경기","화성시","동탄청계로","경기도 화성시 청계동 526","경기도 화성시 영천동 728-1","1","38","42","매우좋음"
"2022-01-05","13:14","경기","화성시","동탄순환대로","경기도 화성시 목동 244-6","경기도 화성시 영천동 712","2","37","62","좋음"
"2022-01-05","13:36","경기","화성시","여울로","경기도 화성시 능동 1175","경기도 화성시 능동 1245","2","37","108","보통"
"2022-01-05","13:44","경기","화성시","10용사로","경기도 화성시 능동 1243","경기도 화성시 병점동 689-3","2","37","78","좋음"
"2022-01-05","14:21","경기","화성시","동화길","경기도 화성시 봉담읍 동화리 425-4","경기도 화성시 봉담읍 분천리 66-3","2","37","57","좋음"
"2022-01-05","14:29","경기","화성시","최루백로","경기도 화성시 봉담읍 분천리 51-8","경기도 화성시 봉담읍 상리 25-74","2","37","65","좋음"
"2022-01-05","14:52","경기","화성시","발안양감로","경기도 화성시 양감면 송산리 467-2","경기도 화성시 향남읍 화리현리 247-9","3","37","14","매우좋음"
"2022-01-05","15:12","경기","화성시","향남로","경기도 화성시 향남읍 상신리 712-16","경기도 화성시 향남읍 행정리 569","2","37","63","좋음"
"2022-01-05","16:01","경기","화성시","남양로","경기도 화성시 남양읍 남양리 2389","경기도 화성시 남양읍 안석리 산 73-1","3","35","57","좋음"
