날짜,지점,강수량(mm)
20191017,양평,0.0
20191018,양평,0.0
20191019,양평,0.0
20191020,양평,0.0
20191021,양평,0.0
20191022,양평,0.0
20191023,양평,0.0
20191024,양평,0.0
20191025,양평,1.5
20191026,양평,0.0
20191027,양평,0.0
20191028,양평,0.5
20191029,양평,7.0
20191030,양평,0.0
20191031,양평,0.0
20191101,양평,0.0
20191102,양평,0.0
20191103,양평,0.0
20191104,양평,0.0
20191105,양평,0.0
20191106,양평,0.0
20191107,양평,0.0
20191108,양평,0.0
20191109,양평,0.0
20191110,양평,4.5
20191111,양평,1.0
20191112,양평,0.1
20191113,양평,7.0
20191114,양평,0.0
20191115,양평,15.0
20191116,양평,0.0
20191117,양평,40.5
20191118,양평,13.5
20191119,양평,0.0
20191120,양평,0.0
20191121,양평,0.0
20191122,양평,0.0
20191123,양평,0.0
20191124,양평,1.0
20191125,양평,0.0
20191126,양평,0.0
20191127,양평,0.0
20191128,양평,0.0
20191129,양평,0.0
20191130,양평,0.0
20191201,양평,3.9
20191202,양평,0.0
20191203,양평,0.0
20191204,양평,0.0
20191205,양평,0.0
20191206,양평,0.0
20191207,양평,0.0
20191208,양평,0.0
20191209,양평,0.0
20191210,양평,1.9
20191211,양평,0.9
20191212,양평,0.0
20191213,양평,0.1
20191214,양평,0.5
20191215,양평,0.0
20191216,양평,0.0
20191217,양평,7.9
20191218,양평,0.0
20191219,양평,0.0
20191220,양평,0.0
20191221,양평,0.0
20191222,양평,0.0
20191223,양평,2.2
20191224,양평,0.0
20191225,양평,0.0
20191226,양평,1.5
20191227,양평,0.0
20191228,양평,0.0
20191229,양평,0.4
20191230,양평,0.7
20191231,양평,0.0
20200101,양평,0.1
20200102,양평,0.0
20200103,양평,0.0
20200104,양평,0.0
20200105,양평,0.0
20200106,양평,2.5
20200107,양평,57.1
20200108,양평,3.3
20200109,양평,0.0
20200110,양평,0.0
20200111,양평,0.0
20200112,양평,0.0
20200113,양평,0.0
20200114,양평,0.0
20200115,양평,0.0
20200116,양평,0.0
20200117,양평,0.0
20200118,양평,0.0
20200119,양평,0.7
20200120,양평,0.0
20200121,양평,0.0
20200122,양평,0.0
20200123,양평,0.0
20200124,양평,0.0
20200125,양평,0.0
20200126,양평,0.0
20200127,양평,0.0
20200128,양평,0.4
20200129,양평,0.0
20200130,양평,0.0
20200131,양평,0.0
20200201,양평,0.0
20200202,양평,0.0
20200203,양평,0.0
20200204,양평,1.5
20200205,양평,0.0
20200206,양평,0.0
20200207,양평,0.0
20200208,양평,0.0
20200209,양평,0.0
20200210,양평,0.0
20200211,양평,0.0
20200212,양평,7.3
20200213,양평,0.0
20200214,양평,0.0
20200215,양평,1.0
20200216,양평,9.1
20200217,양평,1.8
20200218,양평,0.0
20200219,양평,0.0
20200220,양평,0.0
20200221,양평,2.3
20200222,양평,4.3
20200223,양평,0.0
20200224,양평,0.0
20200225,양평,18.6
20200226,양평,0.0
20200227,양평,0.0
20200228,양평,4.0
20200229,양평,0.2
20200301,양평,0.0
20200302,양평,0.0
20200303,양평,0.0
20200304,양평,0.0
20200305,양평,0.0
20200306,양평,0.0
20200307,양평,0.0
20200308,양평,0.0
20200309,양평,0.0
20200310,양평,8.1
20200311,양평,0.0
20200312,양평,0.0
20200313,양평,0.1
20200314,양평,0.0
20200315,양평,0.0
20200316,양평,0.0
20200317,양평,0.1
20200318,양평,0.0
20200319,양평,0.0
20200320,양평,0.0
20200321,양평,0.0
20200322,양평,0.0
20200323,양평,0.0
20200324,양평,0.0
20200325,양평,0.0
20200326,양평,1.4
20200327,양평,6.0
20200328,양평,0.0
20200329,양평,0.0
20200330,양평,0.0
20200331,양평,0.0
20200401,양평,0.0
20200402,양평,0.0
20200403,양평,0.0
20200404,양평,0.0
20200405,양평,0.0
20200406,양평,0.0
20200407,양평,0.0
20200408,양평,0.0
20200409,양평,0.0
20200410,양평,0.0
20200411,양평,0.0
20200412,양평,0.0
20200413,양평,0.0
20200414,양평,0.0
20200415,양평,0.0
20200416,양평,0.0
20200417,양평,5.0
20200418,양평,0.1
20200419,양평,11.5
20200420,양평,0.2
20200421,양평,0.6
20200422,양평,0.0
20200423,양평,0.0
20200424,양평,0.0
20200425,양평,0.0
20200426,양평,0.0
20200427,양평,0.0
20200428,양평,0.0
20200429,양평,0.0
20200430,양평,0.0
20200501,양평,0.0
20200502,양평,0.1
20200503,양평,0.1
20200504,양평,0.0
20200505,양평,0.1
20200506,양평,0.0
20200507,양평,0.0
20200508,양평,1.4
20200509,양평,28.8
20200510,양평,1.3
20200511,양평,0.1
20200512,양평,3.0
20200513,양평,0.0
20200514,양평,0.0
20200515,양평,15.1
20200516,양평,0.3
20200517,양평,0.0
20200518,양평,40.8
20200519,양평,5.3
20200520,양평,0.0
20200521,양평,0.0
20200522,양평,0.0
20200523,양평,0.0
20200524,양평,6.4
20200525,양평,0.0
20200526,양평,0.0
20200527,양평,0.0
20200528,양평,0.0
20200529,양평,0.0
20200530,양평,0.0
20200531,양평,0.0
20200601,양평,0.8
20200602,양평,0.0
20200603,양평,0.0
20200604,양평,0.0
20200605,양평,0.0
20200606,양평,0.0
20200607,양평,0.0
20200608,양평,0.0
20200609,양평,0.0
20200610,양평,11.4
20200611,양평,0.2
20200612,양평,0.0
20200613,양평,2.0
20200614,양평,4.4
20200615,양평,0.0
20200616,양평,0.0
20200617,양평,0.0
20200618,양평,0.0
20200619,양평,0.0
20200620,양평,0.0
20200621,양평,0.0
20200622,양평,0.0
20200623,양평,0.0
20200624,양평,29.0
20200625,양평,5.4
20200626,양평,0.8
20200627,양평,0.0
20200628,양평,0.0
20200629,양평,8.4
20200630,양평,39.7
20200701,양평,0.0
20200702,양평,0.0
20200703,양평,0.0
20200704,양평,0.5
20200705,양평,0.0
20200706,양평,0.0
20200707,양평,0.0
20200708,양평,0.0
20200709,양평,0.0
20200710,양평,0.1
20200711,양평,0.0
20200712,양평,4.1
20200713,양평,32.2
20200714,양평,9.7
20200715,양평,1.7
20200716,양평,0.0
20200717,양평,2.2
20200718,양평,0.0
20200719,양평,13.2
20200720,양평,1.6
20200721,양평,0.1
20200722,양평,9.0
20200723,양평,73.7
20200724,양평,0.5
20200725,양평,0.0
20200726,양평,0.0
20200727,양평,1.1
20200728,양평,1.7
20200729,양평,25.5
20200730,양평,1.7
20200731,양평,5.3
20200801,양평,50.4
20200802,양평,46.1
20200803,양평,53.1
20200804,양평,17.4
20200805,양평,26.7
20200806,양평,116.1
20200807,양평,0.0
20200808,양평,8.5
20200809,양평,99.4
20200810,양평,9.9
20200811,양평,45.7
20200812,양평,0.0
20200813,양평,0.0
20200814,양평,0.1
20200815,양평,81.1
20200816,양평,0.0
20200817,양평,0.0
20200818,양평,0.0
20200819,양평,0.0
20200820,양평,0.0
20200821,양평,0.0
20200822,양평,23.6
20200823,양평,0.0
20200824,양평,0.0
20200825,양평,0.0
20200826,양평,0.1
20200827,양평,4.4
20200828,양평,11.0
20200829,양평,18.4
20200830,양평,12.0
20200831,양평,0.1
20200901,양평,0.0
20200902,양평,29.1
20200903,양평,37.1
20200904,양평,0.0
20200905,양평,0.0
20200906,양평,11.7
20200907,양평,26.8
20200908,양평,0.3
20200909,양평,14.6
20200910,양평,0.0
20200911,양평,0.9
20200912,양평,10.6
20200913,양평,0.0
20200914,양평,0.0
20200915,양평,0.0
20200916,양평,7.9
20200917,양평,0.0
20200918,양평,0.0
20200919,양평,0.4
20200920,양평,0.0
20200921,양평,0.0
20200922,양평,0.0
20200923,양평,0.0
20200924,양평,0.0
20200925,양평,0.0
20200926,양평,0.0
20200927,양평,0.0
20200928,양평,0.0
20200929,양평,0.0
20200930,양평,0.0
20201001,양평,0.0
20201002,양평,0.0
20201003,양평,4.1
20201004,양평,0.1
20201005,양평,0.0
20201006,양평,0.0
20201007,양평,0.0
20201008,양평,0.0
20201009,양평,0.0
20201010,양평,0.0
20201011,양평,0.0
20201012,양평,0.0
20201013,양평,0.0
20201014,양평,0.0
20201015,양평,0.0
20201016,양평,0.0
20201017,양평,0.0
20201018,양평,0.0
20201019,양평,0.0
20201020,양평,0.0
20201021,양평,0.0
20201022,양평,0.0
20201023,양평,0.0
20201024,양평,0.0
20201025,양평,0.0
20201026,양평,0.0
20201027,양평,0.0
20201028,양평,0.0
20201029,양평,0.0
20201030,양평,0.0
20201031,양평,0.0
20201101,양평,6.6
20201102,양평,0.1
20201103,양평,0.9
20201104,양평,0.0
20201105,양평,0.0
20201106,양평,0.0
20201107,양평,0.0
20201108,양평,0.0
20201109,양평,0.0
20201110,양평,0.0
20201111,양평,0.0
20201112,양평,0.0
20201113,양평,0.0
20201114,양평,0.0
20201115,양평,0.0
20201116,양평,0.0
20201117,양평,0.0
20201118,양평,6.3
20201119,양평,40.1
20201120,양평,0.0
20201121,양평,0.0
20201122,양평,4.0
