날짜,지점,강수량(mm)
20191017,수원,0.0
20191018,수원,0.0
20191019,수원,0.0
20191020,수원,0.0
20191021,수원,0.0
20191022,수원,0.0
20191023,수원,0.0
20191024,수원,0.0
20191025,수원,0.0
20191026,수원,0.0
20191027,수원,0.0
20191028,수원,2.7
20191029,수원,6.4
20191030,수원,0.0
20191031,수원,0.0
20191101,수원,0.0
20191102,수원,0.0
20191103,수원,0.0
20191104,수원,0.0
20191105,수원,0.0
20191106,수원,0.0
20191107,수원,0.0
20191108,수원,0.0
20191109,수원,0.0
20191110,수원,16.1
20191111,수원,5.8
20191112,수원,0.0
20191113,수원,5.7
20191114,수원,0.0
20191115,수원,10.1
20191116,수원,0.0
20191117,수원,41.6
20191118,수원,10.6
20191119,수원,0.0
20191120,수원,0.0
20191121,수원,0.0
20191122,수원,0.0
20191123,수원,0.0
20191124,수원,3.3
20191125,수원,0.0
20191126,수원,0.0
20191127,수원,0.0
20191128,수원,0.0
20191129,수원,0.0
20191130,수원,0.0
20191201,수원,4.1
20191202,수원,0.0
20191203,수원,1.2
20191204,수원,2.6
20191205,수원,0.0
20191206,수원,0.0
20191207,수원,0.0
20191208,수원,0.0
20191209,수원,0.0
20191210,수원,1.6
20191211,수원,0.7
20191212,수원,0.0
20191213,수원,0.9
20191214,수원,2.0
20191215,수원,0.0
20191216,수원,0.0
20191217,수원,6.2
20191218,수원,0.0
20191219,수원,0.0
20191220,수원,0.0
20191221,수원,0.3
20191222,수원,0.0
20191223,수원,3.7
20191224,수원,0.0
20191225,수원,0.0
20191226,수원,1.8
20191227,수원,0.0
20191228,수원,0.0
20191229,수원,0.6
20191230,수원,0.5
20191231,수원,0.0
20200101,수원,0.0
20200102,수원,0.0
20200103,수원,0.0
20200104,수원,0.0
20200105,수원,0.0
20200106,수원,3.9
20200107,수원,50.8
20200108,수원,4.4
20200109,수원,0.0
20200110,수원,0.0
20200111,수원,0.0
20200112,수원,0.0
20200113,수원,0.0
20200114,수원,0.0
20200115,수원,0.0
20200116,수원,0.0
20200117,수원,0.0
