날짜,지점,강수량(mm)
20191017,파주,0.0
20191018,파주,0.0
20191019,파주,0.0
20191020,파주,0.0
20191021,파주,0.0
20191022,파주,0.0
20191023,파주,0.0
20191024,파주,0.0
20191025,파주,0.0
20191026,파주,0.0
20191027,파주,0.0
20191028,파주,4.5
20191029,파주,0.0
20191030,파주,0.0
20191031,파주,0.0
20191101,파주,0.0
20191102,파주,0.0
20191103,파주,0.0
20191104,파주,0.0
20191105,파주,0.0
20191106,파주,0.0
20191107,파주,0.0
20191108,파주,0.0
20191109,파주,0.0
20191110,파주,14.1
20191111,파주,0.2
20191112,파주,0.0
20191113,파주,23.0
20191114,파주,0.0
20191115,파주,10.2
20191116,파주,0.0
20191117,파주,14.6
20191118,파주,6.5
20191119,파주,0.0
20191120,파주,0.0
20191121,파주,0.0
20191122,파주,0.0
20191123,파주,0.0
20191124,파주,3.6
20191125,파주,0.0
20191126,파주,0.0
20191127,파주,0.0
20191128,파주,0.0
20191129,파주,0.0
20191130,파주,0.0
20191201,파주,2.0
20191202,파주,0.0
20191203,파주,0.0
20191204,파주,0.0
20191205,파주,0.0
20191206,파주,0.0
20191207,파주,0.6
20191208,파주,0.0
20191209,파주,2.8
20191210,파주,5.7
20191211,파주,0.3
20191212,파주,0.0
20191213,파주,3.6
20191214,파주,0.1
20191215,파주,0.0
20191216,파주,0.0
20191217,파주,9.6
20191218,파주,0.0
20191219,파주,0.0
20191220,파주,0.0
20191221,파주,0.0
20191222,파주,1.0
20191223,파주,1.8
20191224,파주,0.0
20191225,파주,0.0
20191226,파주,0.0
20191227,파주,0.0
20191228,파주,0.0
20191229,파주,0.5
20191230,파주,0.2
20191231,파주,0.0
20200101,파주,0.1
20200102,파주,0.0
20200103,파주,0.0
20200104,파주,0.0
20200105,파주,0.0
20200106,파주,1.1
20200107,파주,63.7
20200108,파주,17.4
20200109,파주,0.0
20200110,파주,0.0
20200111,파주,0.0
20200112,파주,0.0
20200113,파주,0.0
20200114,파주,0.0
20200115,파주,0.0
20200116,파주,0.0
20200117,파주,0.0
20200118,파주,0.0
20200119,파주,0.0
20200120,파주,0.0
20200121,파주,0.0
20200122,파주,0.0
20200123,파주,0.0
20200124,파주,0.0
20200125,파주,0.0
20200126,파주,0.0
20200127,파주,0.0
20200128,파주,0.0
20200129,파주,0.0
20200130,파주,0.0
20200131,파주,0.0
20200201,파주,0.0
20200202,파주,0.0
20200203,파주,0.0
20200204,파주,0.5
20200205,파주,0.0
20200206,파주,0.0
20200207,파주,0.0
20200208,파주,0.0
20200209,파주,0.0
20200210,파주,0.0
20200211,파주,0.0
20200212,파주,3.8
20200213,파주,0.0
20200214,파주,0.0
20200215,파주,2.6
20200216,파주,10.4
20200217,파주,0.1
20200218,파주,0.0
20200219,파주,0.0
20200220,파주,0.0
20200221,파주,7.3
20200222,파주,2.0
20200223,파주,0.0
20200224,파주,0.0
20200225,파주,24.3
20200226,파주,0.0
20200227,파주,0.0
20200228,파주,3.3
20200229,파주,0.0
20200301,파주,0.2
20200302,파주,0.0
20200303,파주,0.0
20200304,파주,0.0
20200305,파주,0.0
20200306,파주,0.0
20200307,파주,0.0
20200308,파주,0.0
20200309,파주,0.0
20200310,파주,11.2
20200311,파주,0.0
20200312,파주,0.0
20200313,파주,0.3
20200314,파주,0.0
20200315,파주,0.0
20200316,파주,0.0
20200317,파주,0.3
20200318,파주,0.0
20200319,파주,0.0
20200320,파주,0.0
20200321,파주,0.0
20200322,파주,0.0
20200323,파주,0.0
20200324,파주,0.0
20200325,파주,0.0
20200326,파주,0.0
20200327,파주,0.1
20200328,파주,0.0
20200329,파주,0.0
20200330,파주,0.0
20200331,파주,0.0
20200401,파주,0.0
20200402,파주,0.0
20200403,파주,0.0
20200404,파주,0.0
20200405,파주,0.0
20200406,파주,0.0
20200407,파주,0.0
20200408,파주,0.0
20200409,파주,0.0
20200410,파주,0.0
20200411,파주,0.0
20200412,파주,0.1
20200413,파주,0.0
20200414,파주,0.0
20200415,파주,0.0
20200416,파주,0.0
20200417,파주,10.7
20200418,파주,0.0
20200419,파주,6.0
20200420,파주,0.7
20200421,파주,0.0
20200422,파주,0.0
20200423,파주,0.0
20200424,파주,0.0
20200425,파주,0.0
20200426,파주,0.0
20200427,파주,0.0
20200428,파주,0.0
20200429,파주,0.0
20200430,파주,0.0
20200501,파주,0.2
20200502,파주,0.3
20200503,파주,0.0
20200504,파주,0.0
20200505,파주,0.0
20200506,파주,0.0
20200507,파주,0.0
20200508,파주,4.7
20200509,파주,39.0
20200510,파주,0.8
20200511,파주,3.3
20200512,파주,0.9
20200513,파주,0.0
20200514,파주,0.0
20200515,파주,8.8
20200516,파주,1.9
20200517,파주,0.1
20200518,파주,36.8
20200519,파주,14.0
20200520,파주,0.0
20200521,파주,0.1
20200522,파주,0.0
20200523,파주,0.6
20200524,파주,17.3
20200525,파주,0.0
20200526,파주,2.8
20200527,파주,0.0
20200528,파주,0.0
20200529,파주,0.0
20200530,파주,0.0
20200531,파주,0.2
20200601,파주,0.0
20200602,파주,4.9
20200603,파주,0.0
20200604,파주,0.0
20200605,파주,0.0
20200606,파주,0.0
20200607,파주,0.0
20200608,파주,0.0
20200609,파주,0.0
20200610,파주,1.9
20200611,파주,0.0
20200612,파주,0.0
20200613,파주,0.0
20200614,파주,0.0
20200615,파주,0.0
20200616,파주,0.0
20200617,파주,0.0
20200618,파주,0.0
20200619,파주,1.0
20200620,파주,0.0
20200621,파주,0.0
20200622,파주,0.0
20200623,파주,0.0
20200624,파주,71.2
20200625,파주,10.8
20200626,파주,1.9
20200627,파주,0.0
20200628,파주,0.0
20200629,파주,6.0
20200630,파주,33.7
20200701,파주,0.2
20200702,파주,0.0
20200703,파주,0.1
20200704,파주,0.8
20200705,파주,0.0
20200706,파주,0.0
20200707,파주,0.0
20200708,파주,0.0
20200709,파주,0.0
20200710,파주,35.3
20200711,파주,0.0
20200712,파주,1.6
20200713,파주,23.6
20200714,파주,12.4
20200715,파주,0.0
20200716,파주,0.1
20200717,파주,0.0
20200718,파주,0.0
20200719,파주,17.4
20200720,파주,6.3
20200721,파주,0.0
20200722,파주,0.0
20200723,파주,94.7
20200724,파주,5.4
20200725,파주,0.0
20200726,파주,0.0
20200727,파주,6.3
20200728,파주,0.0
20200729,파주,25.9
20200730,파주,0.0
20200731,파주,1.1
20200801,파주,113.8
20200802,파주,66.2
20200803,파주,37.4
20200804,파주,29.9
20200805,파주,44.4
20200806,파주,53.2
20200807,파주,0.0
20200808,파주,21.0
20200809,파주,143.0
20200810,파주,24.6
20200811,파주,48.2
20200812,파주,0.0
20200813,파주,0.1
20200814,파주,5.2
20200815,파주,0.9
20200816,파주,0.0
20200817,파주,0.0
20200818,파주,0.0
20200819,파주,0.0
20200820,파주,0.0
20200821,파주,39.7
20200822,파주,17.0
20200823,파주,0.1
20200824,파주,0.0
20200825,파주,0.0
20200826,파주,0.5
20200827,파주,12.7
20200828,파주,13.3
20200829,파주,0.0
20200830,파주,11.4
20200831,파주,0.0
20200901,파주,0.0
20200902,파주,48.1
20200903,파주,29.0
20200904,파주,0.4
20200905,파주,0.0
20200906,파주,1.4
20200907,파주,45.4
20200908,파주,0.0
20200909,파주,59.2
20200910,파주,6.2
20200911,파주,0.3
20200912,파주,3.8
20200913,파주,0.0
20200914,파주,0.0
20200915,파주,0.0
20200916,파주,0.7
20200917,파주,0.0
20200918,파주,1.2
20200919,파주,0.0
20200920,파주,0.0
20200921,파주,0.0
20200922,파주,0.0
20200923,파주,0.0
20200924,파주,0.0
20200925,파주,0.0
20200926,파주,0.0
20200927,파주,0.0
20200928,파주,0.0
20200929,파주,0.0
20200930,파주,0.0
20201001,파주,0.0
20201002,파주,3.5
20201003,파주,0.0
20201004,파주,0.0
20201005,파주,0.0
20201006,파주,0.0
20201007,파주,0.0
20201008,파주,0.0
20201009,파주,0.0
20201010,파주,0.0
20201011,파주,0.0
20201012,파주,0.0
20201013,파주,0.0
20201014,파주,0.0
20201015,파주,0.0
20201016,파주,0.0
20201017,파주,0.0
20201018,파주,0.0
20201019,파주,0.0
20201020,파주,0.0
20201021,파주,0.0
20201022,파주,0.0
20201023,파주,0.0
20201024,파주,0.0
20201025,파주,0.0
20201026,파주,0.0
20201027,파주,0.0
20201028,파주,0.0
20201029,파주,0.0
20201030,파주,0.0
20201031,파주,0.0
20201101,파주,4.2
20201102,파주,0.2
20201103,파주,0.0
20201104,파주,0.0
20201105,파주,0.0
20201106,파주,0.0
20201107,파주,0.0
20201108,파주,0.0
20201109,파주,0.0
20201110,파주,0.0
20201111,파주,0.0
20201112,파주,0.0
20201113,파주,0.0
20201114,파주,0.0
20201115,파주,0.0
20201116,파주,0.0
20201117,파주,0.4
20201118,파주,16.5
20201119,파주,40.0
20201120,파주,0.0
20201121,파주,0.7
20201122,파주,2.2
20201123,파주,0.0
20201124,파주,0.0
20201125,파주,0.0
20201126,파주,0.0
20201127,파주,0.0
20201128,파주,0.0
20201129,파주,0.0
20201130,파주,0.0
20201201,파주,0.0
20201202,파주,0.0
20201203,파주,0.0
20201204,파주,0.0
20201205,파주,0.0
20201206,파주,0.0
20201207,파주,0.0
20201208,파주,0.0
20201209,파주,0.0
20201210,파주,0.1
20201211,파주,0.0
20201212,파주,0.0
20201213,파주,4.8
20201214,파주,0.0
20201215,파주,0.0
20201216,파주,0.0
20201217,파주,0.0
20201218,파주,0.1
20201219,파주,0.0
20201220,파주,0.0
20201221,파주,0.0
20201222,파주,0.0
20201223,파주,0.0
20201224,파주,0.0
20201225,파주,0.0
20201226,파주,0.0
20201227,파주,0.6
20201228,파주,0.0
20201229,파주,0.1
20201230,파주,0.0
20201231,파주,0.0
20210101,파주,0.0
20210102,파주,0.0
20210103,파주,0.0
20210104,파주,0.4
20210105,파주,0.0
20210106,파주,0.8
20210107,파주,0.0
20210108,파주,0.0
20210109,파주,0.0
20210110,파주,0.0
20210111,파주,0.0
20210112,파주,1.4
20210113,파주,0.0
20210114,파주,0.0
20210115,파주,0.4
20210116,파주,0.0
20210117,파주,0.0
20210118,파주,0.8
20210119,파주,0.0
20210120,파주,0.0
20210121,파주,4.9
20210122,파주,0.0
20210123,파주,0.0
20210124,파주,0.0
20210125,파주,0.0
20210126,파주,0.8
20210127,파주,0.0
20210128,파주,3.4
20210129,파주,0.0
20210130,파주,0.0
20210131,파주,0.0
20210201,파주,1.3
20210202,파주,0.1
20210203,파주,7.5
20210204,파주,0.0
20210205,파주,0.0
20210206,파주,0.0
20210207,파주,0.0
20210208,파주,0.0
20210209,파주,0.0
20210210,파주,0.0
20210211,파주,0.0
20210212,파주,0.0
20210213,파주,0.0
20210214,파주,0.0
20210215,파주,1.1
20210216,파주,0.0
20210217,파주,0.0
20210218,파주,0.0
20210219,파주,0.0
20210220,파주,0.0
20210221,파주,0.0
20210222,파주,0.0
20210223,파주,0.0
20210224,파주,0.0
20210225,파주,0.0
20210226,파주,0.0
