,SO2,CO,O3,NO2,PM10,PM25,지역명,year,month,day,hour
0,0.0030669148486399253,1.3130232599450355,0.001960416909705616,0.053248988096933264,29.381413837701025,23.822602230844332,동대문구,2024,1,1,0
1,0.003061877386061551,1.3108310262720744,0.0017975663019633747,0.053422242970871635,29.472500333368746,24.99965854869083,동대문구,2024,1,1,1
2,0.003061110394580921,1.3110397668452312,0.0017194695969153498,0.05344162159063174,29.494252951844874,23.82294358313089,동대문구,2024,1,1,2
3,0.003060993614372194,1.3110198909408424,0.0016820175086246399,0.05344378909619894,29.49944775495042,24.99931729539816,동대문구,2024,1,1,3
4,0.003060975833709051,1.311021783488943,0.0016640569696176155,0.053444031532473665,29.500688340277424,23.82328473745838,동대문구,2024,1,1,4
5,0.0030609731264696544,1.3110216032838946,0.0016554438060760017,0.0534440586490579,29.500984607897642,24.99897624000715,동대문구,2024,1,1,5
6,0.00306097271427214,1.3110216204426974,0.0016513132737926682,0.05344406168205757,29.50105536038913,23.8236256939416,동대문구,2024,1,1,6
7,0.0030609726515119754,1.3110216188088668,0.0016493324340162922,0.05344406202129967,29.50107225698771,24.998635382403034,동대문구,2024,1,1,7
8,0.0030609726419562693,1.3110216189644373,0.0016483825016708883,0.05344406205924402,29.501076292111247,23.823966452695284,동대문구,2024,1,1,8
9,0.0030609726405013415,1.3110216189496242,0.0016479269517210102,0.05344406206348811,29.501077255750282,24.99829472247111,동대문구,2024,1,1,9
10,0.003060972640279818,1.3110216189510346,0.0016477084879979484,0.053444062063962815,29.50107748587959,23.824307013834105,동대문구,2024,1,1,10
11,0.003060972640246089,1.3110216189509003,0.0016476037214442328,0.05344406206401591,29.50107754083741,24.99795426009674,동대문구,2024,1,1,11
12,0.0030609726402409535,1.3110216189509132,0.0016475534795522444,0.05344406206402185,29.50107755396204,23.824647377472658,동대문구,2024,1,1,12
13,0.0030609726402401716,1.311021618950912,0.001647529385529667,0.05344406206402252,29.50107755709637,24.99761399516536,동대문구,2024,1,1,13
14,0.0030609726402400523,1.3110216189509123,0.0016475178309901983,0.05344406206402259,29.501077557844887,23.824987543725484,동대문구,2024,1,1,14
15,0.003060972640240034,1.3110216189509123,0.0016475122898904546,0.0534440620640226,29.501077558023642,24.997273927562464,동대문구,2024,1,1,15
16,0.0030609726402400315,1.3110216189509123,0.0016475096325983614,0.0534440620640226,29.50107755806633,23.82532751270705,동대문구,2024,1,1,16
17,0.003060972640240031,1.3110216189509123,0.0016475083582662621,0.0534440620640226,29.501077558076528,24.99693405717362,동대문구,2024,1,1,17
18,0.003060972640240031,1.3110216189509123,0.0016475077471470316,0.0534440620640226,29.50107755807896,23.825667284531765,동대문구,2024,1,1,18
19,0.003060972640240031,1.3110216189509123,0.0016475074540784397,0.0534440620640226,29.501077558079544,24.996594383884457,동대문구,2024,1,1,19
20,0.003060972640240031,1.3110216189509123,0.0016475073135343442,0.0534440620640226,29.501077558079682,23.826006859313956,동대문구,2024,1,1,20
21,0.003060972640240031,1.3110216189509123,0.0016475072461349593,0.0534440620640226,29.501077558079714,24.996254907580667,동대문구,2024,1,1,21
22,0.003060972640240031,1.3110216189509123,0.0016475072138128824,0.0534440620640226,29.50107755807972,23.826346237167897,동대문구,2024,1,1,22
23,0.003060972640240031,1.3110216189509123,0.0016475071983124937,0.0534440620640226,29.501077558079725,24.99591562814802,동대문구,2024,1,1,23
24,0.003060972640240031,1.3110216189509123,0.001647507190879121,0.0534440620640226,29.501077558079725,23.82668541820779,동대문구,2024,1,2,0
25,0.003060972640240031,1.3110216189509123,0.0016475071873143696,0.0534440620640226,29.501077558079725,24.99557654547234,동대문구,2024,1,2,1
26,0.003060972640240031,1.3110216189509123,0.001647507185604856,0.0534440620640226,29.501077558079725,23.827024402547778,동대문구,2024,1,2,2
27,0.003060972640240031,1.3110216189509123,0.0016475071847850409,0.0534440620640226,29.501077558079725,24.99523765943953,동대문구,2024,1,2,3
28,0.003060972640240031,1.3110216189509123,0.00164750718439189,0.0534440620640226,29.501077558079725,23.82736319030193,동대문구,2024,1,2,4
29,0.003060972640240031,1.3110216189509123,0.0016475071842033506,0.0534440620640226,29.501077558079725,24.99489896993554,동대문구,2024,1,2,5
30,0.003060972640240031,1.3110216189509123,0.0016475071841129344,0.0534440620640226,29.501077558079725,23.827701781584246,동대문구,2024,1,2,6
31,0.003060972640240031,1.3110216189509123,0.0016475071840695743,0.0534440620640226,29.501077558079725,24.994560476846406,동대문구,2024,1,2,7
32,0.003060972640240031,1.3110216189509123,0.0016475071840487807,0.0534440620640226,29.501077558079725,23.82804017650867,동대문구,2024,1,2,8
33,0.003060972640240031,1.3110216189509123,0.0016475071840388088,0.0534440620640226,29.501077558079725,24.99422218005822,동대문구,2024,1,2,9
34,0.003060972640240031,1.3110216189509123,0.0016475071840340266,0.0534440620640226,29.501077558079725,23.82837837518907,동대문구,2024,1,2,10
35,0.003060972640240031,1.3110216189509123,0.0016475071840317333,0.0534440620640226,29.501077558079725,24.993884079457143,동대문구,2024,1,2,11
36,0.003060972640240031,1.3110216189509123,0.0016475071840306335,0.0534440620640226,29.501077558079725,23.828716377739266,동대문구,2024,1,2,12
37,0.003060972640240031,1.3110216189509123,0.0016475071840301061,0.0534440620640226,29.501077558079725,24.9935461749294,동대문구,2024,1,2,13
38,0.003060972640240031,1.3110216189509123,0.0016475071840298533,0.0534440620640226,29.501077558079725,23.829054184272984,동대문구,2024,1,2,14
39,0.003060972640240031,1.3110216189509123,0.001647507184029732,0.0534440620640226,29.501077558079725,24.99320846636128,동대문구,2024,1,2,15
