날짜,지점,강수량(mm)
20191017,인천,0.0
20191018,인천,0.0
20191019,인천,0.0
20191020,인천,0.0
20191021,인천,0.0
20191022,인천,0.0
20191023,인천,0.0
20191024,인천,0.0
20191025,인천,0.0
20191026,인천,0.0
20191027,인천,0.0
20191028,인천,0.6
20191029,인천,0.1
20191030,인천,0.0
20191031,인천,0.0
20191101,인천,0.0
20191102,인천,0.0
20191103,인천,0.0
20191104,인천,0.0
20191105,인천,0.0
20191106,인천,0.0
20191107,인천,0.0
20191108,인천,0.0
20191109,인천,0.0
20191110,인천,21.4
20191111,인천,1.3
20191112,인천,0.0
20191113,인천,5.9
20191114,인천,0.0
20191115,인천,23.4
20191116,인천,0.0
20191117,인천,23.7
20191118,인천,9.9
20191119,인천,0.0
20191120,인천,0.0
20191121,인천,0.0
20191122,인천,0.0
20191123,인천,0.0
20191124,인천,3.8
20191125,인천,0.0
20191126,인천,0.0
20191127,인천,0.0
20191128,인천,0.0
20191129,인천,0.0
20191130,인천,0.0
20191201,인천,3.8
20191202,인천,0.0
20191203,인천,1.8
20191204,인천,0.3
20191205,인천,0.0
20191206,인천,0.0
20191207,인천,0.1
20191208,인천,0.0
20191209,인천,0.0
20191210,인천,2.4
20191211,인천,0.0
20191212,인천,0.0
20191213,인천,1.2
20191214,인천,0.0
20191215,인천,0.0
20191216,인천,0.0
20191217,인천,6.7
20191218,인천,0.0
20191219,인천,0.0
20191220,인천,0.0
20191221,인천,2.1
20191222,인천,0.6
20191223,인천,4.8
20191224,인천,0.0
20191225,인천,0.0
20191226,인천,0.2
20191227,인천,0.0
20191228,인천,0.0
20191229,인천,0.9
20191230,인천,0.1
20191231,인천,0.0
20200101,인천,0.0
20200102,인천,0.0
20200103,인천,0.0
20200104,인천,0.0
20200105,인천,0.0
20200106,인천,2.3
20200107,인천,42.2
20200108,인천,3.4
20200109,인천,0.0
20200110,인천,0.0
20200111,인천,0.0
20200112,인천,0.0
20200113,인천,0.0
20200114,인천,0.0
20200115,인천,0.0
20200116,인천,0.0
20200117,인천,0.0
20200118,인천,0.0
20200119,인천,0.1
20200120,인천,0.0
20200121,인천,0.0
20200122,인천,0.0
20200123,인천,0.0
20200124,인천,0.0
20200125,인천,0.0
20200126,인천,0.0
20200127,인천,0.6
20200128,인천,0.0
20200129,인천,0.0
20200130,인천,0.0
20200131,인천,0.0
20200201,인천,0.0
20200202,인천,0.0
20200203,인천,0.0
20200204,인천,0.9
20200205,인천,0.0
20200206,인천,0.0
20200207,인천,0.0
20200208,인천,0.0
20200209,인천,0.0
20200210,인천,0.0
20200211,인천,0.0
20200212,인천,5.9
20200213,인천,0.0
20200214,인천,0.0
20200215,인천,3.8
20200216,인천,10.2
20200217,인천,0.1
20200218,인천,0.0
20200219,인천,0.0
20200220,인천,0.0
20200221,인천,5.8
20200222,인천,1.1
20200223,인천,0.0
20200224,인천,0.0
20200225,인천,17.5
20200226,인천,0.0
20200227,인천,0.0
20200228,인천,4.1
20200229,인천,0.3
20200301,인천,0.0
20200302,인천,0.0
20200303,인천,0.0
20200304,인천,0.0
20200305,인천,0.0
20200306,인천,0.0
20200307,인천,0.0
20200308,인천,0.0
20200309,인천,0.0
20200310,인천,6.1
20200311,인천,0.0
20200312,인천,0.0
20200313,인천,0.0
20200314,인천,0.0
20200315,인천,0.0
20200316,인천,0.0
20200317,인천,0.0
20200318,인천,0.0
20200319,인천,0.0
20200320,인천,0.0
20200321,인천,0.0
20200322,인천,0.0
20200323,인천,0.0
20200324,인천,0.0
20200325,인천,0.0
20200326,인천,3.5
20200327,인천,1.1
20200328,인천,0.0
20200329,인천,0.0
20200330,인천,0.0
20200331,인천,0.0
20200401,인천,0.0
20200402,인천,0.0
20200403,인천,0.0
20200404,인천,0.0
20200405,인천,0.0
20200406,인천,0.0
20200407,인천,0.0
20200408,인천,0.0
20200409,인천,0.0
20200410,인천,0.0
20200411,인천,0.0
20200412,인천,0.0
20200413,인천,0.0
20200414,인천,0.0
20200415,인천,0.0
20200416,인천,0.0
20200417,인천,2.6
20200418,인천,0.0
20200419,인천,11.2
20200420,인천,0.0
20200421,인천,0.0
20200422,인천,0.0
20200423,인천,0.0
20200424,인천,0.0
20200425,인천,0.0
20200426,인천,0.0
20200427,인천,0.0
20200428,인천,0.0
20200429,인천,0.0
20200430,인천,0.0
20200501,인천,0.0
20200502,인천,0.0
20200503,인천,0.1
20200504,인천,0.0
20200505,인천,0.0
20200506,인천,0.0
20200507,인천,0.0
20200508,인천,2.9
20200509,인천,24.1
20200510,인천,0.8
20200511,인천,2.6
20200512,인천,0.3
20200513,인천,0.0
20200514,인천,0.0
20200515,인천,10.4
20200516,인천,1.7
20200517,인천,0.1
20200518,인천,35.7
20200519,인천,4.7
20200520,인천,0.0
20200521,인천,0.0
20200522,인천,0.0
20200523,인천,0.1
20200524,인천,15.9
20200525,인천,0.0
20200526,인천,1.5
20200527,인천,0.0
20200528,인천,0.0
20200529,인천,0.0
20200530,인천,0.0
20200531,인천,0.3
20200601,인천,0.4
20200602,인천,2.7
20200603,인천,0.0
20200604,인천,0.9
20200605,인천,0.0
20200606,인천,0.0
20200607,인천,0.0
20200608,인천,0.0
20200609,인천,0.0
20200610,인천,9.4
20200611,인천,0.0
20200612,인천,0.0
20200613,인천,0.0
20200614,인천,0.2
20200615,인천,0.0
20200616,인천,0.0
20200617,인천,0.0
20200618,인천,0.0
20200619,인천,0.1
20200620,인천,0.0
20200621,인천,0.0
20200622,인천,0.0
20200623,인천,0.0
20200624,인천,23.5
20200625,인천,6.9
20200626,인천,1.6
20200627,인천,0.0
20200628,인천,0.0
20200629,인천,22.0
20200630,인천,32.5
20200701,인천,0.1
20200702,인천,0.0
20200703,인천,0.8
20200704,인천,0.5
20200705,인천,0.0
20200706,인천,0.0
20200707,인천,0.0
20200708,인천,0.0
