,SO2,CO,O3,NO2,PM10,PM25,지역명,month,day,도로명,기온,습도,평균속도,최고속도,weekday
0,-1.2746223091799413,-0.2997545721495192,0.6480394585960053,-1.1854831155506946,-0.8114640935056808,-0.8160281509274586,3,3,31,0,-0.8270975300328097,-0.09276427181598214,-0.7718673973167676,-2.7541257435115356,3
1,0.03797779383697045,-0.2997545721495192,-0.3370502195798751,0.6982306444533709,-0.3537051062604189,-0.7368910842977076,3,3,31,0,-0.8270975300328097,-0.09276427181598214,-0.7718673973167676,-2.7541257435115356,3
2,2.663177999870794,0.35143104624465177,-0.0259692685769656,0.6163300461923245,1.2484513490979978,2.5077286475220832,18,4,4,0,-1.0521957088145115,-0.8229023489610316,-0.7718673973167676,-2.7541257435115356,0
3,0.03797779383697045,-0.9509401905436905,0.38880533276024715,-0.7759801242454629,5.559015145657547,-0.34120575114895263,3,4,27,0,0.07329518509399707,-2.022414904270756,-0.7718673973167676,-2.7541257435115356,2
4,0.03797779383697045,-0.9509401905436905,-0.3370502195798751,0.94393243923651,4.910523247060093,0.054479581999802344,3,4,27,0,0.07329518509399707,-2.022414904270756,-0.7718673973167676,-2.7541257435115356,2
5,0.03797779383697045,-0.2997545721495192,2.670065640114917,-1.1035825172896483,0.4855197036892279,0.6084390484080593,18,5,18,0,0.29839336387569876,-0.7707496291649567,-0.7718673973167676,-2.7541257435115356,2
6,0.03797779383697045,-0.2997545721495192,-0.0259692685769656,0.04302585836500029,0.104053880984843,0.6875761150378104,3,6,17,0,0.18584427448484792,1.6804282012505667,-0.7718673973167676,-2.7541257435115356,4
7,0.03797779383697045,-0.2997545721495192,-0.18150974407842016,0.94393243923651,0.33293337460747396,1.0832614481865652,3,6,17,0,0.18584427448484792,1.6804282012505667,-0.7718673973167676,-2.7541257435115356,4
8,-1.2746223091799413,-0.2997545721495192,-0.07781609374411688,-0.9397813207675556,-0.46814485307173437,-0.18293161788945064,18,6,24,0,0.07329518509399707,1.4196646022701918,-0.7718673973167676,-2.7541257435115356,4
9,-1.2746223091799413,-0.2997545721495192,0.8554267592646115,-0.6121789277233703,-0.2774119417195419,0.2918907818890553,18,7,15,0,0.9736879002208039,-0.09276427181598214,-0.7718673973167676,-2.7541257435115356,4
10,0.03797779383697045,0.35143104624465177,1.2702013606018243,-0.6121789277233703,-0.12482561263778795,0.3710278485188063,3,7,18,0,0.9736879002208039,0.6373738053290674,-0.7718673973167676,-2.7541257435115356,0
11,0.03797779383697045,-0.2997545721495192,0.9072735844317632,-0.2026759364181386,-0.16297219490822645,0.9249873149270633,3,7,18,0,0.9736879002208039,0.6373738053290674,-0.7718673973167676,-2.7541257435115356,0
12,1.3505778968538822,0.35143104624465177,0.2851116824259442,-0.2026759364181386,-0.04853244809691097,-0.10379455125969965,18,9,8,0,0.7485897214391022,-0.7707496291649567,-0.7718673973167676,-2.7541257435115356,3
13,0.03797779383697045,0.35143104624465177,0.6653217336517206,-0.2026759364181386,-0.3791361611073781,-0.6049959732481227,3,9,8,0,0.7485897214391022,-0.24922243120420703,-0.7718673973167676,-2.7541257435115356,3
14,-1.2746223091799413,0.35143104624465177,0.1295712069244893,0.6163300461923245,-0.010385865826472478,-0.8160281509274586,3,9,8,0,0.7485897214391022,-0.24922243120420703,-0.7718673973167676,-2.7541257435115356,3
15,-1.2746223091799413,-0.9509401905436905,-0.2333565692455718,-1.267383713811741,-1.0784901693987503,-1.1325764174464625,3,10,7,0,-0.4894502618602572,0.6895265251251423,-0.7718673973167676,-2.7541257435115356,4
16,-1.2746223091799413,-0.9509401905436905,-0.7518248209170878,-0.284576534679185,-0.6970243466943653,-0.49947988440845464,3,10,7,0,-0.4894502618602572,0.6895265251251423,-0.7718673973167676,-2.7541257435115356,4
17,-1.2746223091799413,-0.9509401905436905,-0.3370502195798751,-1.267383713811741,-0.6588777644239269,-0.42034281777870364,18,10,11,0,-0.7145484406419589,0.27230476675654264,-0.7718673973167676,-2.7541257435115356,1
18,-0.224542226766412,-0.42999169582835356,1.907917310157789,-1.087202397637439,-0.46814485307173437,-0.34120575114895263,3,6,12,0,0.5234915426574005,-0.301375151000282,-0.7718673973167676,-2.7541257435115356,0
19,-0.4870622473697945,-0.6253473813466051,1.6486831843220309,0.04302585836500029,-0.46814485307173437,-0.34120575114895263,3,6,12,0,0.5234915426574005,-0.301375151000282,-0.7718673973167676,-2.7541257435115356,0
20,-0.35580223706810293,-0.42999169582835356,1.3220481857689759,-1.1445328164201714,-0.04853244809691097,-0.6577540176679566,18,6,27,0,0.861138810829953,1.158901003289817,-0.7718673973167676,-2.7541257435115356,1
21,0.3004978144403529,0.41654960808406893,2.768574607932505,-0.4811379705056961,0.6381060327709819,0.3710278485188063,3,7,7,0,1.1987860790025056,-0.24922243120420703,-0.7718673973167676,-2.7541257435115356,4
22,0.5630178350437348,-0.3648731339889364,2.011610960492092,1.0422131571497657,0.9051321086640512,0.6875761150378104,3,7,7,0,1.1987860790025056,-0.24922243120420703,-0.7718673973167676,-2.7541257435115356,4
23,-0.4870622473697945,-1.0811773142225245,0.798395251580745,-0.9725415600719742,-0.46814485307173437,-0.10379455125969965,18,8,3,0,1.4238842577842072,1.0545955636976672,-0.7718673973167676,-2.7541257435115356,3
24,-0.6183222576714854,-0.4951102576677707,1.0368906473496422,-0.9070210814631371,-0.7351709289648038,-0.7368910842977076,3,9,7,0,1.1987860790025056,-1.2401241073296314,-0.7718673973167676,-2.7541257435115356,3
