ds,자치구,기온,상대습도,초미세먼지,미세먼지
2024-01-01,도봉구,2.6,80.0,12.0,13.0
2024-01-01,도봉구,1.8,84.0,12.0,13.0
2024-01-01,도봉구,-1.0,90.0,8.0,9.0
2024-01-01,도봉구,-0.2,83.0,1.0,2.0
2024-01-01,도봉구,2.5,81.0,17.0,18.0
2024-01-01,도봉구,0.5,85.0,10.0,11.0
2024-01-01,도봉구,1.5,84.0,4.0,5.0
2024-01-01,도봉구,0.3,86.0,6.0,7.0
2024-01-01,도봉구,1.8,84.0,9.0,10.0
2024-01-01,도봉구,-1.2,89.0,9.0,10.0
2024-01-01,도봉구,0.6,88.0,8.0,9.0
2024-01-01,도봉구,1.3,86.0,13.0,14.0
2024-01-01,도봉구,3.2,80.0,5.0,6.0
2024-01-01,도봉구,-0.2,85.0,1.0,2.0
2024-01-01,도봉구,2.0,85.0,6.0,7.0
2024-01-01,도봉구,2.2,87.0,18.0,20.0
2024-01-01,도봉구,2.3,84.0,1.0,2.0
2024-01-01,도봉구,2.1,85.0,1.0,2.0
2024-01-01,도봉구,1.9,84.0,1.0,2.0
2024-01-01,도봉구,0.0,87.0,8.0,9.0
2024-01-01,도봉구,-2.1,100.0,26.0,29.0
2024-01-01,도봉구,-1.0,100.0,11.0,12.0
2024-01-01,도봉구,1.1,100.0,21.0,24.0
2024-01-01,도봉구,1.1,100.0,2.0,3.0
2024-01-01,도봉구,0.6,100.0,15.0,16.0
2024-01-01,도봉구,-5.3,100.0,14.0,15.0
2024-01-01,도봉구,-40.0,95.0,2.0,3.0
2024-01-01,도봉구,1.1,88.0,19.0,21.0
2024-01-01,도봉구,0.6,100.0,11.0,12.0
2024-01-01,도봉구,-6.0,100.0,22.0,24.0
2024-01-01,도봉구,-0.4,100.0,17.0,18.0
2024-01-01,도봉구,0.6,100.0,14.0,15.0
2024-01-01,도봉구,0.0,85.0,19.0,21.0
2024-01-01,도봉구,-40.0,100.0,22.0,23.0
2024-01-01,도봉구,0.5,93.0,13.0,14.0
2024-01-01,도봉구,1.8,100.0,10.0,11.0
2024-01-01,도봉구,-0.2,100.0,16.0,17.0
2024-01-01,도봉구,1.0,85.0,7.0,7.0
2024-01-01,도봉구,0.4,86.0,12.0,13.0
2024-01-01,도봉구,2.0,83.0,12.0,13.0
2024-01-01,도봉구,3.1,80.0,6.0,8.0
2024-01-01,도봉구,-0.4,84.0,1.0,2.0
2024-01-01,도봉구,2.8,79.0,12.0,13.0
2024-01-01,도봉구,1.5,83.0,4.0,5.0
2024-01-01,도봉구,1.1,84.0,5.0,6.0
2024-01-01,도봉구,2.9,81.0,5.0,6.0
2024-01-01,도봉구,2.1,88.0,20.0,21.0
2024-01-01,도봉구,-0.9,89.0,8.0,9.0
2024-01-01,도봉구,1.9,83.0,9.0,10.0
2024-01-01,도봉구,1.6,86.0,1.0,2.0
2024-01-01,도봉구,-0.5,85.0,1.0,2.0
2024-01-01,도봉구,-0.1,87.0,8.0,9.0
2024-01-01,도봉구,2.3,82.0,18.0,19.0
2024-01-01,도봉구,1.9,86.0,1.0,2.0
2024-01-01,도봉구,2.2,84.0,6.0,7.0
2024-01-01,도봉구,1.2,87.0,13.0,14.0
2024-01-01,도봉구,2.6,82.0,18.0,19.0
2024-01-01,도봉구,-1.1,89.0,10.0,11.0
2024-01-01,도봉구,2.1,84.0,1.0,2.0
2024-01-01,도봉구,0.7,88.0,8.0,9.0
2024-01-01,도봉구,0.7,100.0,14.0,15.0
2024-01-01,도봉구,-1.5,100.0,25.0,27.0
2024-01-01,도봉구,1.0,100.0,2.0,3.0
2024-01-01,도봉구,0.0,100.0,18.0,19.0
2024-01-01,도봉구,1.0,100.0,21.0,23.0
2024-01-01,도봉구,-40.0,93.0,2.0,3.0
2024-01-01,도봉구,-4.8,100.0,15.0,16.0
