ds,자치구,기온,상대습도,초미세먼지,미세먼지
2024-01-01,동대문구,1.3,90.0,17.0,18.0
2024-01-01,동대문구,0.9,91.0,14.0,15.0
2024-01-01,동대문구,1.1,86.0,1.0,2.0
2024-01-01,동대문구,1.3,92.0,31.0,34.0
2024-01-01,동대문구,0.2,89.0,30.0,33.0
2024-01-01,동대문구,2.1,88.0,15.0,16.0
2024-01-01,동대문구,2.4,88.0,22.0,24.0
2024-01-01,동대문구,,,2.0,3.0
2024-01-01,동대문구,-1.5,100.0,23.0,25.0
2024-01-01,동대문구,1.7,89.0,17.0,18.0
2024-01-01,동대문구,2.2,89.0,19.0,20.0
2024-01-01,동대문구,1.3,100.0,41.0,46.0
2024-01-01,동대문구,1.8,89.0,16.0,17.0
2024-01-01,동대문구,2.0,82.0,14.0,15.0
2024-01-01,동대문구,0.9,90.0,16.0,17.0
2024-01-01,동대문구,2.2,84.0,10.0,11.0
2024-01-01,동대문구,1.9,86.0,24.0,26.0
2024-01-01,동대문구,0.7,92.0,0.0,1000.0
2024-01-01,동대문구,1.9,87.0,14.0,15.0
2024-01-01,동대문구,1.3,87.0,1.0,2.0
2024-01-01,동대문구,2.1,87.0,1.0,2.0
2024-01-01,동대문구,1.8,85.0,21.0,23.0
2024-01-01,동대문구,1.0,91.0,17.0,18.0
2024-01-01,동대문구,2.6,87.0,17.0,18.0
2024-01-01,동대문구,1.0,92.0,15.0,16.0
2024-01-01,동대문구,2.4,84.0,18.0,19.0
2024-01-01,동대문구,,,2.0,3.0
2024-01-01,동대문구,1.6,87.0,27.0,29.0
2024-01-01,동대문구,2.5,84.0,16.0,17.0
2024-01-01,동대문구,1.6,91.0,30.0,33.0
2024-01-01,동대문구,2.0,87.0,30.0,32.0
2024-01-01,동대문구,1.8,86.0,22.0,24.0
2024-01-01,동대문구,2.8,85.0,14.0,15.0
2024-01-01,동대문구,-1.8,100.0,22.0,24.0
2024-01-01,동대문구,0.6,88.0,30.0,33.0
2024-01-01,동대문구,1.3,100.0,41.0,45.0
2024-01-01,동대문구,2.2,88.0,15.0,16.0
2024-01-01,동대문구,1.2,92.0,16.0,17.0
2024-01-01,동대문구,1.8,87.0,23.0,25.0
2024-01-01,동대문구,1.9,84.0,18.0,19.0
2024-01-01,동대문구,1.5,90.0,29.0,32.0
2024-01-01,동대문구,2.0,83.0,14.0,15.0
2024-01-01,동대문구,2.1,86.0,28.0,30.0
2024-01-01,동대문구,1.8,88.0,15.0,16.0
2024-01-01,동대문구,2.6,84.0,14.0,15.0
2024-01-01,동대문구,0.8,92.0,0.0,1000.0
2024-01-01,동대문구,1.7,88.0,16.0,17.0
2024-01-01,동대문구,1.1,89.0,15.0,16.0
2024-01-01,동대문구,2.4,83.0,18.0,19.0
2024-01-01,동대문구,2.0,84.0,14.0,15.0
2024-01-01,동대문구,1.0,91.0,17.0,18.0
2024-01-01,동대문구,2.2,83.0,9.0,10.0
2024-01-01,동대문구,2.3,86.0,16.0,18.0
2024-01-01,동대문구,1.8,85.0,20.0,22.0
2024-01-01,동대문구,0.5,88.0,29.0,31.0
2024-01-01,동대문구,1.2,88.0,1.0,2.0
2024-01-01,동대문구,2.2,87.0,1.0,2.0
2024-01-01,동대문구,,,1.0,2.0
2024-01-01,동대문구,1.5,88.0,29.0,31.0
2024-01-01,동대문구,-1.5,100.0,22.0,24.0
2024-01-01,동대문구,2.0,87.0,13.0,14.0
2024-01-01,동대문구,1.1,100.0,38.0,42.0
2024-01-01,동대문구,1.9,87.0,14.0,15.0
2024-01-01,동대문구,2.1,86.0,17.0,18.0
2024-01-01,동대문구,1.3,89.0,15.0,16.0
2024-01-01,동대문구,1.5,89.0,15.0,16.0
2024-01-01,동대문구,1.8,84.0,19.0,20.0
2024-01-01,동대문구,2.2,83.0,17.0,18.0
2024-01-01,동대문구,2.1,82.0,15.0,16.0
