,ds,SO2,CO,O3,NO2,PM10,PM25,지역명
0,2024-01-01,0.002694468078304871,0.5748104430986583,0.009158592233396164,0.029650314976889247,42.80776530714613,31.71901458348282,구로구
1,2024-01-02,0.0026440047458275596,0.5740379498311754,0.008642481158725904,0.030634436374730924,44.250497996300105,32.517935767943925,구로구
2,2024-01-03,0.002691717654153279,0.5983554058327191,0.008114171959806866,0.03187331651517901,49.68419763824266,34.63907999792533,구로구
3,2024-01-04,0.00267530817525383,0.5953702680981544,0.00938543567641725,0.03120527805399466,49.25066582630603,34.805683822364415,구로구
4,2024-01-05,0.0027054868263925998,0.5956855140489342,0.010881106237283847,0.03140933185115504,49.02225595818343,34.94637596546884,구로구
5,2024-01-06,0.002673376074116567,0.5989416351612069,0.011134532880728548,0.0300342398685678,48.950147153428105,35.46355644533259,구로구
6,2024-01-07,0.0026077097014621567,0.5824438823801608,0.012769554705239603,0.02638224378067267,47.22754331376935,33.86820655824853,구로구
7,2024-01-08,0.0026658320614776267,0.5798840974186408,0.010236758723070442,0.03017389667904722,46.139721821315725,32.019718308080115,구로구
8,2024-01-09,0.002602846341498078,0.5674425663846979,0.010088472200130719,0.030490558044773904,46.788250370133824,31.74419334611492,구로구
9,2024-01-10,0.002638770573170629,0.5805111770003758,0.0098966575456916,0.03107685922438102,51.40760677403925,32.83878509027734,구로구
10,2024-01-11,0.00261155244355281,0.5669282845352331,0.011468061193215251,0.02978417641432271,50.155071313927046,32.04746773288471,구로구
11,2024-01-12,0.0026321257752665475,0.5575113051344032,0.013223392647721509,0.029403908419927165,49.11808412800346,31.31790057169512,구로구
12,2024-01-13,0.002591809079566376,0.5520937139204526,0.013692844467190367,0.02749625128402841,48.2621747683401,31.069369897326574,구로구
13,2024-01-14,0.002519501326344478,0.5281478392895574,0.01549811041465515,0.023373661571519017,45.793847270294854,28.827215610088505,구로구
14,2024-01-15,0.0025726783066381455,0.5195028993896164,0.013088662774752421,0.026765452364603155,44.01035310756367,26.46234068781681,구로구
15,2024-01-16,0.002506538747268009,0.5024438120486096,0.013016739837475212,0.026760088073869176,44.023677115315124,25.80926146279922,구로구
16,2024-01-17,0.002541158930694969,0.5124321346489773,0.012855212607653476,0.027107490333826062,48.07697634804958,26.670278412599597,구로구
17,2024-01-18,0.0025145068770220658,0.497339592722061,0.014412683514567894,0.025662395987781778,46.3343449705862,25.791155195924404,구로구
18,2024-01-19,0.0025374989422174347,0.48798024659532796,0.01611259511817621,0.02521756728951781,44.888099556347356,25.11797627366316,구로구
19,2024-01-20,0.0025013992082943254,0.4841479803237059,0.016488661828193876,0.02333254806276968,43.706692098665044,25.065165090464326,구로구
20,2024-01-21,0.002435016768701532,0.4632406872224939,0.018166784479208473,0.019317157991012877,40.99763260347969,23.150067581414888,구로구
21,2024-01-22,0.002495704232810088,0.4589805574127043,0.01560121164426235,0.022896168207262237,39.05735057511172,21.232694635633973,구로구
22,2024-01-23,0.002438506548410042,0.44751593571845755,0.015349401779555924,0.02315172215567226,38.9953159595173,21.134075029404478,구로구
23,2024-01-24,0.002483318827498508,0.4641460228515994,0.014989758467404043,0.023825810667377528,43.05065370507929,22.640790310144894,구로구
24,2024-01-25,0.0024679041592810553,0.4565587767385656,0.016336594776664354,0.02276383782345747,41.3821181497318,22.48106958580561,구로구
25,2024-01-26,0.002502954188143673,0.4553679458159878,0.01781910793746,0.022748072312082753,40.075613872562094,22.582103496073024,구로구
26,2024-01-27,0.0024794927544126524,0.46015578861829076,0.017976680426793862,0.02132667175403711,39.092361992838626,23.338547289982255,구로구
27,2024-01-28,0.0024260776232245943,0.4481027151789491,0.019440670197917204,0.01779746522222687,36.63208514831979,22.247605061292,구로구
28,2024-01-29,0.002499803548812354,0.45271311172446677,0.016670456573273356,0.021872929680453276,34.9831317948801,21.149275740015756,구로구
