,ds,SO2,CO,O3,NO2,PM10,PM25,지역명
0,2024-01-01,0.0023044895926361115,0.7332510500951439,0.012991610053182057,0.03621449772486589,39.28778271303998,29.606183474397746,광진구
1,2024-01-02,0.0023684050903768827,0.7284047448446779,0.012145422397152938,0.03786568578549018,40.302589830064846,30.011986103804013,광진구
2,2024-01-03,0.002372632853828107,0.7428079422536688,0.01164650656117672,0.03917930257640889,43.48602727427081,31.257885523839647,광진구
3,2024-01-04,0.002415494185546082,0.7464869750256108,0.012971102771556022,0.03886478642229848,44.56276935971982,32.02085084613749,광진구
4,2024-01-05,0.002459860248859303,0.7314800540515003,0.014248177993437361,0.038669489217898693,44.933565674088,32.954474032686306,광진구
5,2024-01-06,0.0024277607278848055,0.7365042105916425,0.014718848025014254,0.03770623299693988,45.18327523574051,33.58214957535188,광진구
6,2024-01-07,0.0024644885317835754,0.7162508446087363,0.016737205921351982,0.03427531338147249,44.409491508042905,33.222529248176784,광진구
7,2024-01-08,0.002575182900714622,0.7068533078849345,0.013469388638404807,0.03852616519086163,43.1194042200034,31.303182832148657,광진구
8,2024-01-09,0.002652939188853091,0.6805243071599051,0.013208759702653707,0.03950525713829332,43.48248171893093,30.751144424150183,광진구
9,2024-01-10,0.0026685483543528554,0.6745673802829939,0.01327903581144833,0.04013609339082992,45.98546491030015,31.05685002285164,광진구
10,2024-01-11,0.0027202768359241725,0.6594601329325864,0.015147071340998457,0.03914126242501476,46.365082986365145,30.916102908146947,광진구
11,2024-01-12,0.002770968593109904,0.627651355666977,0.016933251851695023,0.038281076643892,46.0340217911621,31.00037699725166,광진구
12,2024-01-13,0.0027426523422971845,0.6182179691915772,0.017871085117101785,0.03668083738098088,45.58870373591827,30.849587269821853,광진구
13,2024-01-14,0.002780644742234715,0.5861519206042481,0.020308170509392924,0.03265256006657817,44.13767965467416,29.797169708134085,광진구
14,2024-01-15,0.0028901319452243894,0.5678206805349597,0.01740537584312498,0.03635638164622856,42.198283985460556,27.283410888164923,광진구
15,2024-01-16,0.0029642778389157407,0.5355993051188512,0.01745209755144378,0.03684822345152536,41.949141464724676,26.24571492629744,광진구
16,2024-01-17,0.0029739620476471637,0.5268784472063736,0.01776943105788048,0.03705959287234371,43.88501977125085,26.182320215405642,광진구
17,2024-01-18,0.0030175584006362733,0.5121460850921099,0.019822965176000004,0.03571946899254895,43.74944054997876,25.794107683693955,광진구
18,2024-01-19,0.0030580356598663714,0.48378511658834356,0.021733152361969453,0.034592819423118135,42.96058070679164,25.75481432103186,광진구
