,ds,SO2,CO,O3,NO2,PM10,PM25,지역명
0,2024-01-01,0.002946076488362613,0.8267337918501567,0.00989302202895358,0.039347993732205336,42.9668517707273,32.42772986693966,성북구
1,2024-01-02,0.0029359709647726996,0.8166065804057561,0.009643910207778147,0.03987611859444239,44.08445968184316,32.65503354270426,성북구
2,2024-01-03,0.0030123052965220854,0.8441251861170695,0.009191433713622441,0.04132421241385534,48.18059045790733,33.943356868710794,성북구
3,2024-01-04,0.003016828984035402,0.8407980770540116,0.010274232418068949,0.040754411495286455,48.446721984227295,34.21809673970507,성북구
4,2024-01-05,0.003058922831878311,0.8390968286219429,0.01145063696573767,0.040987314984276005,49.00761797477732,34.998368196515344,성북구
5,2024-01-06,0.0030036947659624197,0.8402422088142938,0.012739766393327124,0.0386740852070121,48.97867255530369,35.45393779919418,성북구
6,2024-01-07,0.0029253050944569605,0.8106010920183673,0.015122866927934237,0.033676148655392826,47.548204422836626,34.37930442669361,성북구
7,2024-01-08,0.003000286607286619,0.8185175328033892,0.011162750376139726,0.03926240559947049,46.96678391041311,32.78264950775593,성북구
8,2024-01-09,0.002960996796491398,0.7912277915484993,0.011317259965835356,0.039045434714850835,47.471974427237754,32.04925596839901,성북구
9,2024-01-10,0.0030079347861954398,0.8024567330396961,0.011229196447924212,0.039773933061344066,50.92000772085535,32.41473837997051,성북구
10,2024-01-11,0.002983399013291827,0.7840242997793638,0.012631652360953845,0.038523687299772055,50.513185432574765,31.822211417519974,성북구
11,2024-01-12,0.0029972981494672895,0.7686825920122811,0.014078762479203083,0.03812791625022162,50.38726099827686,31.807145091856476,성북구
12,2024-01-13,0.0029152362847474932,0.7578957497173373,0.015586861643460534,0.0352490938098229,49.66856510516438,31.553940451020498,성북구
13,2024-01-14,0.002811828608947138,0.7182316219476359,0.018135843276361,0.029758407471212157,47.55609203678627,29.869695720028147,성북구
14,2024-01-15,0.0028640131764279056,0.7181886795771224,0.014288577500985564,0.034932766170776015,46.31063483329014,27.77289230722607,성북구
15,2024-01-16,0.0028044961896845255,0.6851080595342431,0.01450431835073669,0.034390848494743734,46.17935467271593,26.65660607446576,성북구
16,2024-01-17,0.002834063503768183,0.6927682270647142,0.01442853555459395,0.03488543499991114,49.02730710252653,26.761591003955274,성북구
17,2024-01-18,0.002795234464369951,0.672990990803918,0.015798122432499614,0.03349432265415379,48.06471995802088,26.03336544580972,성북구
18,2024-01-19,0.0027980705999874297,0.6584794026207215,0.017171992384722955,0.03305066227222468,47.434278531984354,26.007050840146285,성북구
19,2024-01-20,0.002708260176972996,0.650599704528825,0.01857206032560941,0.030214827381451512,46.26818185708503,25.86399637006209,성북구
20,2024-01-21,0.0026004348031380183,0.6157762432400095,0.020984408040237088,0.024853967848566173,43.77018724321736,24.405657623903583,성북구
21,2024-01-22,0.0026514835780967975,0.6223227136362627,0.016978498411189508,0.030239158823401144,42.204730011575975,22.642455215434644,성북구
22,2024-01-23,0.002594002105877076,0.5973594971708898,0.017020374201869286,0.029981631689200126,41.82150212234202,21.957213793746774,성북구
23,2024-01-24,0.0026286089235209613,0.614414435772154,0.01676228306578989,0.030825325401075302,44.48700998454336,22.578522266790415,성북구
24,2024-01-25,0.002597605286985023,0.605035610169856,0.017947686309210394,0.029838049960826486,43.41190342237468,22.438137946351482,성북구
25,2024-01-26,0.0026107906455675196,0.6016364733791085,0.019141669519368035,0.0298420959439291,42.73832810216532,23.056176070651635,성북구
26,2024-01-27,0.0025335546125602303,0.6052853099405588,0.02037175651630628,0.027486391045089403,41.597061756884806,23.598108991550486,성북구
27,2024-01-28,0.0024402014106800585,0.582107744479314,0.02262893005319512,0.022626349205594826,39.18964769818492,22.849033449992746,성북구
28,2024-01-29,0.0025072720831368256,0.60012546379274,0.018486727880766714,0.02852131502284375,37.777608915853776,21.802922005787302,성북구
29,2024-01-30,0.0024670015838917283,0.5861807265819565,0.01841435265934488,0.028771082403683694,37.60712296152932,21.82644920354908,성북구
30,2024-01-31,0.002519643109373324,0.6135438197285371,0.0180662392488933,0.030108718449000607,40.540674669896156,23.132723738438674,성북구
31,2024-02-01,0.0025071354366829842,0.6135318633299477,0.01918703779164264,0.02959197745589713,39.78447582959272,23.63904030516545,성북구
32,2024-02-02,0.0025389254423838405,0.6183591677847958,0.020342030607243215,0.03003413280078361,39.47590171071532,24.852384327548666,성북구
33,2024-02-03,0.0024800664748749705,0.6289309891047256,0.021557983306811145,0.028076322387286027,38.74070292464835,25.926706567954824,성북구
34,2024-02-04,0.0024045484490666756,0.6112493076992941,0.02382423159206664,0.023567548938937043,36.77520482919991,25.63741990164798,성북구
35,2024-02-05,0.0024886248708813324,0.6332537250231938,0.019711869563253256,0.02976223465860678,35.835577111540864,24.970829476835995,성북구
36,2024-02-06,0.002464273849038491,0.6217470124351667,0.01968697449621881,0.030256807211355704,36.16255368765431,25.28808339847801,성북구
37,2024-02-07,0.0025315254274467726,0.6500024622191976,0.019400307483262828,0.03178254722528372,39.61312049815205,26.798973225414635,성북구
38,2024-02-08,0.0025321310005654374,0.6493814647555094,0.020592443741089414,0.03139698261875255,39.38796137793947,27.41969748897992,성북구
39,2024-02-09,0.0025753870077833705,0.6521815667006687,0.02182434566683579,0.03191465912363537,39.618913440674966,28.658322440385277,성북구
40,2024-02-10,0.0025262336241118994,0.659426935993222,0.023118373938135865,0.029979385415399844,39.42619237064498,29.671959469563227,성북구
41,2024-02-11,0.0024585843796992614,0.637269964167891,0.025459532999246522,0.025444097883980315,38.00060203243432,29.241115266354797,성북구
42,2024-02-12,0.00254865199567203,0.6538272280458206,0.0214148117761876,0.03156824922575613,37.59281339505552,28.358930947817676,성북구
43,2024-02-13,0.0025284075863572157,0.636099491546861,0.021446549891841037,0.03195420323230252,38.43809532064013,28.394903352938655,성북구
44,2024-02-14,0.0025979056625998736,0.6575730584739184,0.021202264516997468,0.033339871983372786,42.38801713276595,29.568424735104593,성북구
45,2024-02-15,0.0025989508049013804,0.6498310711016999,0.022419887954671917,0.03278988718113974,42.63791528090306,29.80626167465897,성북구
46,2024-02-16,0.002640918310001552,0.6453951854288278,0.02365842598978917,0.03312614165054119,43.31437737110858,30.62771548771704,성북구
47,2024-02-17,0.0025888496334064725,0.6455097251821194,0.0249390299909225,0.03099980610552331,43.532505372433874,31.201491869932415,성북구
48,2024-02-18,0.0025167786599790227,0.6165372167651645,0.027246277594804063,0.02627097274767142,42.47817332722963,30.3197441394044,성북구
49,2024-02-19,0.0026010541812404426,0.6267886897007587,0.02314752213703123,0.03220583606918406,42.397364912356124,28.987014367661946,성북구
50,2024-02-20,0.0025737958097820073,0.6034385722135915,0.023106241259175667,0.032412898916051536,43.520973137823695,28.583673221727445,성북구
51,2024-02-21,0.0026352158332229284,0.6201216241863997,0.022771820808392552,0.033635445032743676,47.69658119824431,29.339201727252032,성북구
52,2024-02-22,0.002627282930325182,0.6085406127790127,0.023884725884543292,0.03294257404005348,48.11601525971571,29.18944193505117,성북구
53,2024-02-23,0.002659540092324636,0.6013052483176115,0.025007071535411277,0.03315963817886505,48.9029203136642,29.66156395690107,성북구
54,2024-02-24,0.002597197596941645,0.5997145434698917,0.026163589179506952,0.030940188239221546,49.17011821616329,29.930781207215695,성북구
55,2024-02-25,0.0025144570782433887,0.5701515316597414,0.02834278719813817,0.026145581523058407,48.10196007648459,28.79428113330676,성북구
56,2024-02-26,0.002587832069244075,0.580913735268261,0.024116169870207985,0.0320421624359731,47.94375480251879,27.260097408737415,성북구
57,2024-02-27,0.0025496022345983327,0.559129191697841,0.023951449358875852,0.03223750293975355,48.926652293940094,26.710524848356634,성북구
58,2024-02-28,0.002600133773463048,0.5783554313588846,0.023502191276436317,0.03347294225756025,52.89949637937892,27.37541945833373,성북구
59,2024-02-29,0.002581541885673461,0.5701900397841871,0.024512850086130567,0.03281471901768323,53.0564343823286,27.189508628156766,성북구
60,2024-03-01,0.002603507610159141,0.5671132258516974,0.02554921110086727,0.03308453156392168,53.52453071959192,27.67745586066597,성북구
61,2024-03-02,0.0025313698467923826,0.5702744439500825,0.026639239143321905,0.03093162952767757,53.42114024536855,28.01070782794058,성북구
62,2024-03-03,0.0024394485689054743,0.5458918747840014,0.02877413589943225,0.026212584604931248,51.936250566676335,26.98158614736085,성북구
63,2024-03-04,0.002504364570181233,0.5620880119488326,0.024527473227545022,0.03218864580273268,51.32187280501128,25.592344285956393,성북구
64,2024-03-05,0.0024584929349678064,0.5458110109694331,0.0243683396307474,0.03246216079384142,51.81685768907481,25.218784784239475,성북구
65,2024-03-06,0.002502282690561546,0.5704390398951587,0.02395094225588379,0.033769297088154855,55.27865129871639,26.08377283223024,성북구
66,2024-03-07,0.0024779185212838893,0.5673961095288359,0.025019621806126442,0.033171350602213726,54.91077747747015,26.114764703423603,성북구
67,2024-03-08,0.002495136849223383,0.5689996563333151,0.026139297520055844,0.033485471995812324,54.85029541127065,26.82908901293905,성북구
68,2024-03-09,0.0024193170985902877,0.5762517862661483,0.02733634193626253,0.03135690891454516,54.22499016377804,27.391002414604124,성북구
