,ds,SO2,CO,O3,NO2,PM10,PM25,지역명
0,2024-01-01,0.0027751388642388384,0.7305464562355714,0.011550935754556929,0.039194251888300745,41.32377579493536,32.11147039076703,송파구
1,2024-01-02,0.002844091681323939,0.7297186958864397,0.01107908719128908,0.0402982175291492,42.05286477007992,32.33924312672488,송파구
2,2024-01-03,0.002896614135215352,0.7570475778356625,0.010364222333050184,0.04169136171358802,46.350648467575844,33.94899485833192,송파구
3,2024-01-04,0.0029328057156150856,0.7614783153648975,0.012054179978662472,0.041174894307782095,47.360416297511165,34.2420760304032,송파구
4,2024-01-05,0.0029715130397225805,0.7644442516901946,0.013451248655027143,0.041207917365604835,48.21065398419998,35.22687834967332,송파구
5,2024-01-06,0.0029092664870183464,0.7641270938640369,0.014369604782726534,0.03941210569524643,47.67995863365964,35.75262114472491,송파구
6,2024-01-07,0.0028235643031601053,0.7386010274606877,0.017037314572921916,0.0338446499933215,46.31146004591598,35.262962214097854,송파구
7,2024-01-08,0.0029133389010188864,0.7406283609405131,0.01304242507401198,0.039763713817164606,45.5992453935558,33.55272200837294,송파구
8,2024-01-09,0.0029542614199897957,0.7251139895831988,0.013113511309109826,0.040084043235819634,45.71579916932711,32.81338829487149,송파구
9,2024-01-10,0.0029777068835509022,0.7381876513721748,0.012902757833263327,0.04070732860210606,49.36729829188987,33.473962384938346,송파구
10,2024-01-11,0.0029843018654229746,0.7290675542628009,0.015048840510610395,0.03944956344120342,49.70804767435438,32.85455518175186,송파구
11,2024-01-12,0.002993412476270432,0.7194426003849403,0.016846208498305013,0.03878392659558989,49.87756019891274,32.981406142913706,송파구
12,2024-01-13,0.0029020706218419946,0.7077268020765944,0.018102691846393168,0.036345148646854904,48.665244068161584,32.72026205817464,송파구
13,2024-01-14,0.002788248495482268,0.6721981417012424,0.021041631687445248,0.03020216631191167,46.62461303905323,31.529612833645118,송파구
14,2024-01-15,0.002851316227121305,0.665789654663127,0.01724805566125061,0.03562332300234266,45.259521467729414,29.217082364324757,송파구
15,2024-01-16,0.0028673389134197197,0.6435401387664444,0.01744926395073914,0.0355317604790541,44.75144005256364,27.984649806886033,송파구
16,2024-01-17,0.0028680354990498805,0.6516735553083699,0.01729790392947972,0.035835606158996905,47.8146152335881,28.269269212269954,송파구
17,2024-01-18,0.002854321513850918,0.6394607716354735,0.01943480012293977,0.034355205078696494,47.61039964382974,27.396301195695948,송파구
18,2024-01-19,0.0028457935355776327,0.6286009164326927,0.02115814156280718,0.033565925462609864,47.28425863875525,27.394433560709206,송파구
19,2024-01-20,0.0027396533502843266,0.6174759625419162,0.022280955155445967,0.031102500456367164,45.630415951700385,27.12902990748098,송파구
20,2024-01-21,0.0026139817587644476,0.584290782794156,0.025033066267515076,0.025031709960944296,43.20605308756437,26.05540380428316,송파구
21,2024-01-22,0.0026681969028635403,0.5818664255603003,0.021007074293158477,0.030617659693190198,41.5175625827448,23.975315245257768,송파구
22,2024-01-23,0.0026783532569964975,0.5650939550463178,0.02093871443637412,0.030777300074371097,40.74786840432557,23.08236164383732,송파구
23,2024-01-24,0.002676103647880081,0.5800178396870536,0.02048969013555471,0.03141078597144303,43.61165313453975,23.80282664225823,송파구
24,2024-01-25,0.0026622461766528513,0.5757024345424581,0.022310249645456203,0.030328921658856426,43.26977546195938,23.449394248615008,송파구
25,2024-01-26,0.002656213763446194,0.5736187060577005,0.023708115863483023,0.02999621433275476,42.866378720807845,24.036397733241614,송파구
26,2024-01-27,0.0025550041225011083,0.5719046752044076,0.024505705030228073,0.028035492290193875,41.19364899210705,24.41353371394343,송파구
27,2024-01-28,0.002436459942993324,0.5485116734637809,0.02694184232453005,0.022500884602106523,38.8061327596127,24.019529522801502,송파구
28,2024-01-29,0.0024997339718048983,0.5560039990492593,0.022617508560133618,0.028643411822768458,37.20710970892298,22.639050459668752,송파구
29,2024-01-30,0.002520594966543405,0.5490191549736199,0.02227599511363147,0.02936682247745025,36.57602963927674,22.44850869974294,송파구
30,2024-01-31,0.002530396709924868,0.5733574890629184,0.021585556707117273,0.030558268417174773,39.62384921226575,23.857326566319635,송파구
31,2024-02-01,0.0025296317971901425,0.5778546230136373,0.023201839924016712,0.030016055601950444,39.50754864701178,24.16205129981334,송파구
32,2024-02-02,0.0025374277671964375,0.5837736686409828,0.024436699969083396,0.03019298616319418,39.36732630902,25.361980833524584,송파구
33,2024-02-03,0.0024504832521416637,0.5890705696406476,0.025115343705376734,0.028701240893474568,37.991427613342644,26.29322179848537,송파구
34,2024-02-04,0.0023463538067214264,0.5715445417220498,0.027478008322097288,0.02358559271503023,35.93051689936152,26.382659591849684,송파구
35,2024-02-05,0.002423922019231366,0.5836410961601195,0.023125710081611003,0.03008919523734334,34.68408731591416,25.4051200115754,송파구
36,2024-02-06,0.0024587078009602904,0.5799147478929016,0.02280043943734053,0.03110957668641256,34.42791792142999,25.529378453403815,송파구
37,2024-02-07,0.0024818409952380724,0.6061201717077994,0.022167890267262284,0.032529428915205535,37.869414712816074,27.159565077872102,송파구
