측정일,지역,지역 상세,도로명,평균 농도
2022-04-08,인천,서구,마중로,350
2022-04-08,인천,서구,도담로,352
2022-04-08,경기,시흥시,황고개로,203
2022-04-11,인천,서구,드림로,902
2022-04-11,인천,서구,봉수대로,234
2022-04-11,인천,서구,석남로,1017
2022-04-11,인천,서구,길주로,272
2022-04-11,경기,안산시 상록구,월피로,263
2022-04-11,경기,안산시 상록구,안산천동로,350
2022-04-11,인천,서구,원석로,244
2022-04-11,경기,안산시 단원구,원선로,202
2022-04-11,경기,안산시 단원구,선부광장남로,234
2022-04-12,인천,계양구,동양로,292
2022-04-12,인천,서구,솔빛로,244
2022-04-12,인천,서구,청라한내로,724
2022-04-13,인천,중구,제물량로,442
2022-04-13,인천,중구,참외전로,312
2022-04-13,인천,중구,우현로,448
2022-04-13,경기,시흥시,승지로,368
2022-04-13,인천,중구,서해대로,445
2022-04-13,경기,시흥시,연성로,321
2022-04-13,인천,중구,축항대로,232
2022-04-13,경기,시흥시,하중로,498
2022-04-13,경기,시흥시,공단3대로,216
2022-04-13,경기,시흥시,오이도로,240
2022-04-13,인천,중구,신도시남로,212
2022-04-13,경기,시흥시,정왕신길로,241
2022-04-13,경기,시흥시,중심상가로,389
2022-04-13,경기,시흥시,역전로,584
2022-04-13,인천,중구,하늘중앙로,267
2022-04-13,인천,중구,햇내로,218
2022-04-13,경기,시흥시,경제로,259
2022-04-13,경기,시흥시,협력로,232
2022-04-14,경기,광주시,경안로,276
2022-04-14,경기,수원시 권선구,장다리로,406
2022-04-14,경기,수원시 권선구,권광로,548
2022-04-14,경기,수원시 팔달구,권광로,440
2022-04-14,경기,광주시,경충대로,305
2022-04-14,경기,수원시 팔달구,창?대로,372
2022-04-14,경기,수원시 팔달구,중부대로,262
2022-04-14,경기,수원시 영통구,매영로,304
2022-04-14,경기,수원시 영통구,청명북로,312
2022-04-14,경기,수원시 영통구,반달로,581
2022-04-14,경기,수원시 영통구,광교호수공원로,225
2022-04-15,경기,파주시,돈유2로,339
2022-04-15,경기,수원시 영통구,청명로,282
2022-04-15,경기,수원시 권선구,세권로,211
2022-04-15,경기,수원시 팔달구,권중로,405
2022-04-15,경기,수원시 팔달구,정조로,441
2022-04-15,경기,수원시 장안구,광교산로,306
2022-04-15,경기,수원시 팔달구,대평로,305
2022-04-15,경기,수원시 장안구,상률로,297
2022-04-15,경기,수원시 장안구,송원로,307
2022-04-18,경기,수원시 권선구,매실로,247
2022-04-18,경기,수원시 권선구,매곡로,216
2022-04-18,경기,양주시,옥정동로,427
2022-04-19,경기,수원시 팔달구,수성로,648
2022-04-19,경기,양주시,고릉말로,289
2022-04-19,경기,광명시,금오로,313
2022-04-21,인천,강화군,길상로,598
2022-04-21,경기,김포시,마송1로,980
2022-04-21,경기,김포시,마송로,273
2022-04-21,경기,김포시,양곡4로,462
2022-04-21,경기,김포시,황금1로80번길,301
2022-04-25,서울,관악구,낙성대로,299
2022-04-25,경기,평택시,서동대로,272
2022-04-25,경기,여주시,우암로,238
2022-04-25,경기,평택시,비전2로,206
2022-04-25,경기,평택시,원평로,234
2022-04-25,경기,평택시,도일유통길,334
2022-04-26,경기,평택시,산단로,2301
2022-04-26,경기,안성시,남파로,329
2022-04-26,경기,평택시,정암로,262
2022-04-26,경기,평택시,추담로,245
2022-04-26,경기,평택시,지산천로,379
2022-04-26,경기,평택시,지산로,210
2022-04-26,경기,평택시,안현로서7길,216
2022-04-26,경기,평택시,안현로서6길,651
2022-04-26,경기,평택시,안현로서9길,303
2022-04-26,경기,평택시,포승공단순환로,305
2022-04-26,경기,평택시,평택항로156번길,481
