,등록일시,온도 평균(℃),습도 평균(%),초미세먼지 평균(㎍/㎥),미세먼지 평균(㎍/㎥)
26,2023-01-28,-4.313461538461539,43.57532051282051,6.301282051282051,8.251602564102564
27,2023-01-29,-0.6219474497681607,49.743431221020096,6.867078825347759,9.078825347758887
28,2023-01-30,1.3917573872472784,43.19440124416796,7.702954898911353,9.578538102643856
29,2023-01-31,3.6412724306688418,56.3768352365416,8.02610114192496,9.234910277324634
30,2023-02-02,1.0868571428571427,36.09428571428571,9.48,11.122857142857143
31,2023-02-03,0.7433962264150943,35.684391080617495,10.739279588336192,12.181818181818182
32,2023-02-04,2.013811188811189,40.83041958041958,15.45979020979021,16.944055944055943
33,2023-02-05,3.5283531409168076,56.402376910016976,34.12393887945671,37.25127334465195
34,2023-02-06,4.894358974358974,61.58974358974359,44.11794871794872,48.6017094017094
35,2023-02-07,5.476489533011272,61.42190016103059,45.46054750402576,49.78260869565217
36,2023-02-08,4.848032786885247,52.191803278688525,36.204918032786885,39.72950819672131
37,2023-02-09,5.421451612903226,39.37741935483871,15.196774193548388,16.664516129032258
38,2023-02-10,5.9839062499999995,68.6328125,13.0625,14.40625
39,2023-02-11,4.856172839506173,62.83487654320987,27.76388888888889,30.436728395061728
40,2023-02-12,5.381717011128775,61.36248012718601,47.432432432432435,51.79809220985692
41,2023-02-13,7.707716049382717,57.91820987654321,18.742283950617285,20.49537037037037
42,2023-02-14,4.054106280193237,48.711755233494365,17.162640901771336,18.792270531400966
43,2023-02-15,4.530247933884298,40.14214876033058,5.809917355371901,6.4
44,2023-02-16,4.295117845117845,55.774410774410775,11.494949494949495,12.688552188552189
45,2023-02-17,5.001132075471698,56.71509433962264,25.558490566037737,27.98867924528302
46,2023-02-18,7.479020979020979,49.79195804195804,51.85489510489511,56.82167832167832
47,2023-02-19,5.547927927927928,47.1009009009009,22.057657657657657,24.25045045045045
48,2023-02-20,1.6814159292035398,43.89823008849557,3.3893805309734515,5.265486725663717
49,2023-02-22,5.619921875,32.984375,12.7890625,13.8984375
50,2023-02-23,5.008176100628931,52.9979035639413,15.31236897274633,17.0
51,2023-02-24,5.771926229508196,48.10450819672131,21.934426229508198,24.43032786885246
52,2023-02-25,3.0936758893280634,34.52173913043478,9.011857707509881,10.144268774703557
53,2023-02-26,4.482150537634408,33.83440860215054,10.217204301075268,11.33978494623656
54,2023-02-27,6.191440501043841,40.455114822546975,16.334029227557412,18.07724425887265
55,2023-02-28,5.871586715867159,51.511070110701105,14.776752767527675,16.219557195571955
56,2023-03-02,5.350622406639004,34.21576763485477,3.66804979253112,5.564315352697095
57,2023-03-03,4.960693641618497,51.90173410404624,6.176300578034682,7.234104046242774
58,2023-03-06,13.934078212290501,30.067039106145252,22.268156424581004,25.279329608938546
59,2023-03-07,12.656878850102668,49.25462012320329,26.724845995893222,30.026694045174537
60,2023-03-08,13.893260869565216,58.743478260869566,22.093478260869563,25.193478260869565
61,2023-03-09,12.39354066985646,76.6555023923445,35.3421052631579,39.55980861244019
62,2023-03-10,14.263805104408352,59.26218097447796,50.34106728538283,57.88863109048724
