,등록일시,온도 평균(℃),습도 평균(%),초미세먼지 평균(㎍/㎥),미세먼지 평균(㎍/㎥)
10,2023-01-12,4.341363102232667,46.873090481786136,36.56169212690952,38.209165687426555
11,2023-01-13,5.64234752589183,88.4487917146145,12.896432681242807,13.517836593785962
12,2023-01-14,5.509219088937093,87.2353579175705,5.552060737527115,6.776572668112799
13,2023-01-15,-0.1289623717217788,85.56784492588369,6.706955530216647,6.98175598631699
14,2023-01-16,-3.591186839012926,52.26674500587544,7.8425381903642775,8.158636897767332
15,2023-01-17,-3.2849537037037035,53.55671296296296,9.50462962962963,10.050925925925926
16,2023-01-18,-1.2188914027149322,51.44796380090498,11.714932126696832,13.07579185520362
17,2023-01-19,-0.42165532879818596,55.43424036281179,12.07482993197279,13.705215419501133
18,2023-01-20,-2.249346405228758,45.188453159041394,8.312636165577342,10.824618736383442
19,2023-01-21,-4.114387633769322,43.59453032104637,4.8882282996432815,5.16884661117717
20,2023-01-22,-0.867995444191344,52.43963553530752,4.577448747152619,4.88496583143508
21,2023-01-23,0.03333333333333335,58.843995510662175,17.87766554433221,18.79573512906846
22,2023-01-24,-13.077382319173363,41.19402985074627,5.090700344431688,5.445464982778415
23,2023-01-25,-11.558015267175573,35.93784078516903,3.0556161395856054,3.2682660850599783
24,2023-01-26,-6.2075304540420815,66.3576965669989,5.717607973421927,6.0365448504983386
25,2023-01-27,-6.581280193236715,46.28019323671498,8.897342995169081,9.495169082125605
26,2023-01-28,-5.5306777645659935,42.99286563614744,5.517241379310345,6.814506539833531
27,2023-01-29,-2.2016042780748664,49.4331550802139,6.5925133689839575,7.957219251336898
28,2023-01-30,-0.3284414106939704,42.12741751990899,7.422070534698521,8.463026166097839
29,2023-01-31,1.9849770642201836,56.46559633027523,7.6307339449541285,8.204128440366972
30,2023-02-02,-0.6168278529980659,35.65183752417795,8.001934235976789,8.868471953578336
31,2023-02-03,-0.9858333333333333,35.291666666666664,9.30595238095238,9.975
32,2023-02-04,-0.0767653758542141,41.19362186788155,12.903189066059225,13.521640091116174
33,2023-02-05,1.2428082191780823,56.97831050228311,29.92351598173516,31.281963470319635
34,2023-02-06,2.5016968325791855,60.6052036199095,40.86764705882353,42.68778280542986
35,2023-02-07,2.934098018769552,60.02502606882169,42.74244004171012,44.535974973931175
36,2023-02-08,2.5938906752411572,53.07288317256163,35.162915326902464,36.632368703108256
37,2023-02-09,3.4868225292242294,41.66524973432519,17.238044633368755,17.97874601487779
38,2023-02-10,3.8738766980146293,69.55903866248694,12.492163009404388,13.019853709508881
39,2023-02-11,2.7706986444212722,64.43378519290928,27.438998957247133,28.605839416058394
40,2023-02-12,3.079002079002079,61.8014553014553,46.08004158004158,47.856548856548855
41,2023-02-13,5.836836518046709,56.95647558386412,12.354564755838641,12.885350318471337
42,2023-02-14,2.3486813186813187,48.66593406593407,16.62087912087912,17.3010989010989
43,2023-02-15,2.5782707622298067,41.36063708759954,6.228668941979522,6.503981797497156
44,2023-02-16,2.374972191323693,56.62847608453838,10.351501668520578,10.816462736373749
45,2023-02-17,2.9969400244798043,57.36352509179927,22.482252141982865,23.41860465116279
46,2023-02-18,5.470175438596492,48.82565789473684,46.52850877192982,48.44188596491228
47,2023-02-19,3.7317185697808535,47.86851211072664,22.197231833910035,23.160322952710494
48,2023-02-20,0.20703812316715545,42.48093841642229,2.563049853372434,3.7067448680351904
49,2023-02-22,4.794354838709677,35.16129032258065,13.841397849462366,14.397849462365592
50,2023-02-23,2.8546206896551722,53.575172413793105,14.473103448275863,15.230344827586206
51,2023-02-24,3.9239669421487604,50.03856749311295,21.515151515151516,22.5633608815427
52,2023-02-25,1.065236051502146,35.94277539341917,8.76680972818312,9.457796852646638
53,2023-02-26,3.1,33.39464068209501,10.227771010962242,10.753958587088915
54,2023-02-27,4.302567975830816,42.02416918429003,15.924471299093655,17.080060422960724
55,2023-02-28,4.069168900804289,50.43297587131367,13.36461126005362,14.095174262734584
56,2023-03-02,3.273936170212766,34.31117021276596,4.236702127659575,5.678191489361702
57,2023-03-03,3.431578947368421,52.91001697792869,5.32427843803056,5.881154499151104
58,2023-03-06,11.936363636363636,29.3,25.17878787878788,26.863636363636363
59,2023-03-07,11.28391356542617,49.41656662665066,23.675870348139256,25.282112845138055
60,2023-03-08,12.607990012484395,53.63171036204744,16.820224719101123,18.13358302122347
61,2023-03-09,10.27161125319693,73.54859335038363,36.187979539641944,37.94373401534527
62,2023-03-10,12.338670694864048,57.19788519637462,44.05740181268882,47.65407854984894
63,2023-03-14,12.228991596638656,31.638655462184875,2.264705882352941,3.453781512605042
64,2023-03-15,8.967660208643816,60.30849478390462,5.567809239940387,6.801788375558868
65,2023-03-16,4.081281618887015,27.753794266441822,2.893760539629005,5.989881956155143
66,2023-03-17,3.2905228758169933,30.424836601307188,5.3202614379084965,7.316993464052287
67,2023-03-20,12.740556660039761,25.681908548707753,30.779324055666002,32.53081510934393
68,2023-03-21,12.082861189801699,32.46883852691218,29.06657223796034,31.007082152974505
69,2023-03-22,16.16462093862816,39.04873646209386,28.619133574007222,30.839350180505416
70,2023-03-23,17.39402390438247,44.9601593625498,19.878486055776893,28.237051792828684
71,2023-03-24,12.11131221719457,30.167420814479637,15.606334841628959,27.024886877828056
