,등록일시,온도 평균(℃),습도 평균(%),초미세먼지 평균(㎍/㎥),미세먼지 평균(㎍/㎥)
19,2023-01-21,-3.6996200607902736,45.31231003039514,6.724164133738602,7.36854103343465
20,2023-01-22,-0.16645768025078372,54.64420062695925,6.790752351097178,7.521943573667712
21,2023-01-23,0.9618827160493827,59.4320987654321,18.337962962962962,20.317901234567902
22,2023-01-24,-11.520666666666665,41.43,8.340833333333334,9.125833333333333
23,2023-01-25,-10.928980891719744,36.517515923566876,5.644108280254777,6.159235668789809
24,2023-01-26,-5.617592592592592,63.7337962962963,9.381172839506172,10.190586419753087
25,2023-01-27,-5.413815789473684,46.370065789473685,11.712993421052632,13.032072368421053
26,2023-01-28,-3.818810289389068,45.12379421221865,7.278135048231511,9.282958199356914
27,2023-01-29,-1.3959641255605382,51.19282511210762,7.704783258594918,9.798206278026905
28,2023-01-30,0.5225806451612903,43.07219662058372,8.286482334869431,9.819508448540706
29,2023-01-31,2.992025518341308,56.813397129186605,8.731259968102073,9.964912280701755
30,2023-02-02,0.29195402298850576,35.50574712643678,9.76867816091954,11.425287356321839
31,2023-02-03,0.7001612903225807,37.24032258064516,12.033870967741935,13.423387096774194
32,2023-02-04,1.676948051948052,43.047077922077925,16.022727272727273,17.554383116883116
33,2023-02-05,2.698042414355628,57.62805872756933,34.32626427406199,37.256117455138664
34,2023-02-06,3.6539452495974234,61.792270531400966,46.31803542673108,50.651368760064415
35,2023-02-07,4.01228346456693,60.14803149606299,44.54251968503937,48.62204724409449
36,2023-02-08,3.4489296636085625,52.993883792048926,37.61162079510704,41.01299694189603
37,2023-02-09,5.164241486068112,41.05727554179567,16.204334365325078,17.695820433436534
38,2023-02-10,4.895295902883157,67.52048558421852,13.60546282245827,14.863429438543248
39,2023-02-11,4.5285714285714285,64.54613095238095,29.954613095238095,32.651785714285715
40,2023-02-12,5.150980392156862,63.70286576168929,49.80542986425339,53.91553544494721
41,2023-02-13,7.6589285714285715,61.05654761904762,18.61235119047619,20.261904761904763
42,2023-02-14,4.02122641509434,52.16981132075472,18.5,20.162735849056602
43,2023-02-15,4.411003236245954,43.28964401294498,6.492718446601942,7.13915857605178
44,2023-02-16,4.21042345276873,58.60260586319218,11.596905537459284,12.740228013029316
45,2023-02-17,5.051396648044692,59.41899441340782,26.261638733705773,28.568901303538176
46,2023-02-18,7.185064935064935,53.875,52.11363636363637,56.70048701298701
47,2023-02-19,6.050000000000001,47.94798657718121,24.043624161073826,26.206375838926174
48,2023-02-20,1.8814814814814815,42.67078189300412,3.909465020576132,5.590534979423868
49,2023-02-22,5.766019417475728,34.092233009708735,12.951456310679612,14.929611650485437
50,2023-02-23,4.83578947368421,56.28421052631579,15.542105263157895,17.602105263157895
51,2023-02-24,5.863636363636363,51.76532769556025,20.882663847780126,23.50951374207188
52,2023-02-25,3.074485596707819,36.2962962962963,9.050411522633745,10.298353909465021
53,2023-02-26,4.253658536585366,36.55432372505543,10.590909090909092,11.982261640798226
