ds,기온,상대습도,초미세먼지,미세먼지
2022-01-03,-0.839101409903666,55.27544384348291,30.22475120895906,37.585440351847716
2022-01-04,-0.9031122199656387,54.75650489841453,29.694217752216723,36.878863183533255
2022-01-05,-0.8206461224346686,55.638157408436584,30.869596515424156,38.7085190600532
2022-01-06,-0.5382790670250106,55.70189196676444,30.98749995663419,38.45839888288336
2022-01-07,-0.26193344997159684,54.23741652139421,31.20311775275228,38.708287230068755
2022-01-08,-0.12720818835514436,54.176898408820776,30.281319434153055,37.17577436018678
2022-01-09,-0.10192372168756769,53.51859067068385,28.38288515206876,34.79682279287697
2022-01-10,0.04547738423828562,54.04272056786547,26.879528303210392,32.85458151649918
2022-01-11,-0.22188734300295998,53.460978454540516,25.580254619648198,31.31094508216777
2022-01-12,-0.34731328589365873,54.296261255422905,26.0880011608729,32.431447123383016
2022-01-13,-0.27145610137922915,54.32946625362209,25.653399178577114,31.614634426903777
2022-01-14,-0.1945110939293393,52.84947202101414,25.44292973437944,31.451453844282575
2022-01-15,-0.246691380113905,52.787403017919914,24.22976277566199,29.667008283530357
2022-01-16,-0.3909091308087138,52.14028123623493,22.179799443167205,27.20096000024069
2022-01-17,-0.3912969288295116,52.686942451693696,20.666586023233215,25.336278230468743
2022-01-18,-0.7811276595577699,52.13755487704064,19.49764674029376,24.03082983948666
2022-01-19,-1.0008683899547712,53.013394065536275,20.271179246260015,25.54240132839136
2022-01-20,-0.9891854163006535,53.09366935530457,20.229955020984637,25.258294551634755
2022-01-21,-0.9451568535752131,51.665538246342635,20.529689682499644,25.755022194090515
2022-01-22,-0.9987589865300386,51.65840477472068,19.930168014899234,24.740450714255733
2022-01-23,-1.1135308261765449,51.06760477517674,18.58163573728223,23.134658385155458
2022-01-24,-1.0550547750683172,51.67035509753282,17.84011703793533,22.19919312801431
2022-01-25,-1.3588133598508225,51.17530405506793,17.494194299629324,21.869215047759184
2022-01-26,-1.468159650599798,52.10233643115009,19.122182016852474,24.379097211845448
2022-01-27,-1.3252212675245278,52.22942782287608,19.946524501999527,25.092611587675844
2022-01-28,-1.1329975330316842,50.84268418009169,21.102669340259638,26.563210565597863
2022-01-29,-1.0257195528973515,50.870662128018985,21.3306883004585,26.476736348749387
2022-01-30,-0.9713814943135528,50.3080724869339,20.762144910216325,25.732811081096386
2022-01-31,-0.7400849415201183,50.9317436282405,20.735855538525147,25.574578685610668
2022-02-01,-0.8717602989061533,50.450181568420064,21.025069189065228,25.92127101612922
2022-02-02,-0.8140067904681096,51.38337981600433,23.194988038340185,28.994161301850532
2022-02-03,-0.5128746881324098,51.5096735022032,24.45744986589951,30.14702327030564
2022-02-04,-0.17485276172439335,50.115773520875464,25.94001762526846,31.92660007064211
2022-02-05,0.06286623550267834,50.13107618896623,26.377743053270436,32.01541140366392
2022-02-06,0.2299312252317307,49.55135089681629,25.900100740672805,31.313150326771996
2022-02-07,0.5545457257862463,50.154682540380676,25.84673880103692,31.066341821953635
2022-02-08,0.4957826702029209,49.6510059042969,25.99457271687618,31.200739305026513
2022-02-09,0.6057588117197987,50.56188539133313,27.915147798577056,33.94702796955817
2022-02-10,0.9388449760349555,50.667335120401646,28.829096718320148,34.670961420231926
2022-02-11,1.2896497069936252,49.25581571595805,29.874944431912247,35.93344569644722
2022-02-12,1.5227046555280683,49.258503994770365,29.800535988177028,35.43291068456721
2022-02-13,1.6699426380921896,48.67293879995377,28.749593535750428,34.08623325171139
2022-02-14,1.9623267556821986,49.2789206268763,28.07705954925205,33.15789795257305
2022-02-15,1.8620679303152876,48.78800311681912,27.575764425104722,32.591885752512
2022-02-16,1.9246916405332737,49.72323075642508,28.833355811174172,34.636874019200924
2022-02-17,2.2081334772984444,49.865918761644025,29.086328082231116,34.675888281594816
2022-02-18,2.5106045985444716,48.50561241721515,29.488415913716626,35.2859331906493
2022-02-19,2.7001590242181095,48.574322993699795,28.801638449065322,34.17995493449121
2022-02-20,2.812057252616265,48.07014435309955,27.18251045472216,32.28741026334428
2022-02-21,3.0802879865580923,48.77312866963787,25.997086330296554,30.883137094549404
2022-02-22,2.9696884826727263,48.39476002352774,25.04738255078905,29.91902428810929
2022-02-23,3.037927121078374,49.457680766879434,25.928121687530442,31.649068849427188
2022-02-24,3.3445302149916145,49.74246706328653,25.88064042523341,31.458963792543162
2022-02-25,3.6886960519105543,48.53759114207147,26.0612276606403,31.92574450822109
2022-02-26,3.9388294882935053,48.77366749502268,25.232179412019292,30.75984398214281
2022-02-27,4.129892381220479,48.44708706112918,23.5480852524788,28.88582788690083
2022-02-28,4.494931868298064,49.335917586597155,22.371008664350363,27.571498280974367
2022-03-01,4.497226636594741,49.14940850596173,21.49710169990796,26.759855389830882
2022-03-02,4.692313836684802,50.40775466538813,22.513590384643877,28.694495973540306
2022-03-03,5.137077182643189,50.88891455626455,22.652965253371345,28.74958043261643
2022-03-04,5.627637263623725,49.87861972618981,23.061634009908385,29.489884422717065
2022-03-06,6.372380786541345,50.16062866644119,21.085662912546223,27.031852740044513
2022-03-07,6.887088345243706,51.2217610418531,20.19581729884466,26.001485664561557
2022-03-08,7.032530239704371,51.19460956420801,19.607339261284565,25.454128988113723
2022-03-09,7.360474481412091,52.59680249712321,20.897527332698235,27.623580960124833
2022-03-10,7.924219536378573,53.20392431493066,21.289898888224123,27.875746854705937
2022-03-11,8.516585659155917,52.299572072410925,21.92309869074787,28.768934828418185
2022-03-12,8.999630593645819,52.809694510308596,21.54250247680247,27.996511984909688
2022-03-13,9.402179587440383,52.726315637160745,20.287014236652144,26.468173746658156
