ds,기온,상대습도,초미세먼지,미세먼지
2022-01-03,-2.4597281921965823,54.635579010158565,28.88119758620786,46.72834635804717
2022-01-04,-2.3794909220755738,53.628976534360014,28.436683884126232,44.48210405513073
2022-01-05,-2.4305582265948527,54.54618429624052,29.3737620466041,45.53630961074393
2022-01-06,-2.042034621912798,54.78372057400482,29.94849497034273,44.84749467681969
2022-01-07,-1.6948032419941192,53.1633512798517,29.87999643532234,44.034402156349884
2022-01-08,-1.5703755288521357,53.14528567066595,29.032925847485892,41.710597077502
2022-01-09,-1.36603858871419,52.76566443810938,27.649613886411952,39.448348527165834
2022-01-10,-1.0423390161735107,53.175786624486214,25.766379568488432,35.32096845889257
2022-01-11,-1.1170658146819061,52.1055855412758,24.580619078086215,32.62015579999801
2022-01-12,-1.336828536230204,52.97113436644701,24.868435793241947,33.41179738130771
2022-01-13,-1.125551636781415,53.16809975082887,24.8989408613228,32.65540529322653
2022-01-14,-0.958888600646226,51.517348961677605,24.401799414844483,31.968666449081248
2022-01-15,-1.0132082499750936,51.47817026951216,23.249487495088204,29.960089303412236
2022-01-16,-0.9808736286438862,51.08578212498189,21.689248629695197,28.19301603761622
2022-01-17,-0.8178487250797932,51.49057741292159,19.759314631044973,24.728182759610732
2022-01-18,-1.037792415843084,50.42161297694407,18.655973108325252,22.841370547191595
2022-01-19,-1.3837328854889588,51.29412526790224,19.151251291824067,24.579591080848807
2022-01-20,-1.2766411078064035,51.502990765163325,19.50734372956144,24.880976712599804
2022-01-21,-1.1899050487361738,49.868337134180635,19.444355237797904,25.33983927070893
2022-01-22,-1.2983556801600198,49.84876535066111,18.82281865793418,24.539869646460822
2022-01-23,-1.293564463329849,49.478858920196465,17.875969198516163,24.01873249256905
2022-01-24,-1.1314474456643087,49.90842708925955,16.626331309517994,21.81122388642901
2022-01-25,-1.3263358371349838,48.865992844056954,16.253190747640605,21.16751977116391
2022-01-26,-1.6226073896229192,49.76630711946085,17.510710653144237,24.109943975639364
2022-01-27,-1.4431987778081758,50.003808362673624,18.64280777100251,25.553411193433774
2022-01-28,-1.2640027459794716,48.39823384510829,19.351348432730262,27.070995575543858
2022-01-29,-1.26280364005755,48.40784324360838,19.479112067232887,27.22758457935524
2022-01-30,-1.1344738586176017,48.066930809571005,19.242492533882867,27.544861501715516
2022-01-31,-0.8384695004218692,48.525073069405806,18.648482345925164,26.0447754688864
2022-02-01,-0.8927883726001564,47.51062276518062,18.862502459951024,25.968019656628503
2022-02-02,-1.045488047203067,48.43823023493741,20.626827627531355,29.33094172109611
2022-02-03,-0.7230874964803338,48.702311038681415,22.17571600606839,31.04603932264329
2022-02-04,-0.4048592753636715,47.12266575185543,23.203796787595103,32.68749131040478
2022-02-05,-0.27166885284044895,47.1577119151688,23.549159479264603,32.824686457328994
2022-02-06,-0.0210863049906429,46.84200383796686,23.426112814007347,32.98699774039796
2022-02-07,0.38518905297605066,47.32548654668079,22.84215790977498,31.206967646881687
2022-02-08,0.4274260727035948,46.33699392498848,22.96573976224558,30.73843394406548
2022-02-09,0.35638215986548616,47.29177160472735,24.544530277106613,33.61303026126028
2022-02-10,0.7449222666471691,47.58494282673112,25.820356442768976,34.760226142920985
2022-02-11,1.113729217064483,46.03712269008991,26.497333846289933,35.7723699939273
2022-02-12,1.2824490028996767,46.1076403873934,26.424656955688675,35.237710376662136
2022-02-13,1.554546606385955,45.83204486776101,25.829023051481204,34.704657564705556
2022-02-14,1.9698330409732776,46.3613401206866,24.731244185225208,32.22446470029012
2022-02-15,2.010500311873633,45.42546019987583,24.31362158337273,31.068871435671188
2022-02-16,1.9295673632193768,46.440764799163524,25.337846315644494,33.286157061492574
2022-02-17,2.3024150906835192,46.80347403539406,26.059550421565532,33.82077930518922
2022-02-18,2.6524058556460695,45.33524852501636,26.19607897410523,34.27807231111272
2022-02-19,2.8019340180539363,45.49637486346356,25.608944185391863,33.25698763812973
2022-02-20,3.05718600460977,45.32323342053466,24.535947239715057,32.31414667299812
2022-02-21,3.460573558948747,45.967495161948335,23.00752995260591,29.506388180434588
2022-02-22,3.496679734550728,45.15955904004173,22.213937075081944,28.108356100725654
2022-02-23,3.4206233775178667,46.31601192792611,22.9229579998373,30.168574600716667
2022-02-24,3.809522600823623,46.833030993066096,23.39437540962645,30.62918437572839
2022-02-25,4.188054782034079,45.53193576888586,23.347693030200297,31.090809421000127
2022-02-26,4.379461310988571,45.87235147250837,22.644603580375005,30.145531867710417
2022-02-27,4.6902768816520215,45.889661013311326,21.52118094028951,29.341235245751662
2022-02-28,5.162747784198646,46.734193876316866,20.004355355793653,26.724490386134576
2022-03-01,5.280779082890866,46.13466391314997,19.279247751853763,25.558518305270198
2022-03-02,5.29831626092338,47.50563862188487,20.107125835532464,27.879665413515347
2022-03-03,5.790841187751065,48.240960130928016,20.740102323993113,28.617552816529916
2022-03-04,6.280978839105517,47.15932520991255,20.88913934903622,29.36035649163158
2022-03-06,7.020428192264178,47.947745995963054,19.51980140173241,28.137793876584105
2022-03-07,7.61292208222985,48.99720601982274,18.24568025356875,25.745828303596614
2022-03-08,7.847922495532741,48.59125903697187,17.760535460024574,24.767071408856
2022-03-09,7.976315348209747,50.14112732088071,18.817204142623943,27.23117238384865
2022-03-10,8.57057867446495,51.03735341600169,19.660221945020773,28.062981152247037
2022-03-11,9.150477163977484,50.09545301693291,19.99404501300007,28.84795093917901
2022-03-12,9.534209788034978,50.76918898422947,19.665991305022757,28.165569790584048
2022-03-13,10.023285972775653,51.08814159872772,18.898871328018128,27.554068741361014
