ds,기온,상대습도,초미세먼지,미세먼지
2022-01-03,0.25635962372983734,53.698298303943446,30.645476152238803,46.65423082378261
2022-01-04,0.1859766186834868,53.04453055431107,30.39008752543116,45.00266703053677
2022-01-05,0.11152712608594406,53.819617342923436,31.66372587692628,46.06790906113136
2022-01-06,0.3066404121575985,54.01662644509274,31.898260664440436,45.32541714995689
2022-01-07,0.6847364707324743,52.26929856193996,32.16540659873323,45.28215987107741
2022-01-08,0.7956761933012579,52.24654035026429,31.32149850864402,43.143426813816966
2022-01-09,0.7761168093241793,51.84666009199243,28.977232006389688,39.38453921503755
2022-01-10,0.9984962115046212,51.77226670312944,26.686429127043755,35.539045667072216
2022-01-11,0.7587714584919336,51.06810598241101,25.56732851575193,33.36167273879721
2022-01-12,0.5067428077205243,51.8113990776987,26.09543700761212,34.08435722307553
2022-01-13,0.5215556522022791,51.994424207417545,25.71915934137221,33.190047198600446
2022-01-14,0.7220614388617062,50.24993733460472,25.52354284912405,33.189263361825724
2022-01-15,0.6633237270127665,50.24568904068653,24.374723344973,31.286792058872305
2022-01-16,0.48683852013021145,49.87868495968957,21.889425475214804,27.953372618566537
2022-01-17,0.5693961689671383,49.85011020780291,19.623583070075167,24.713967592317466
2022-01-18,0.21071341273321664,49.20319147216523,18.69358293604303,23.31088469916078
2022-01-19,-0.13633031389525208,50.0135615228304,19.569170189897186,24.960073631048143
2022-01-20,-0.19025773320353245,50.2718669869514,19.68923048447117,25.125278904387518
2022-01-21,-0.030677089423345905,48.60921489292865,20.12578196412777,26.29503190929855
2022-01-22,-0.10179696866639887,48.69171504337509,19.728756661989294,25.649843186386377
2022-01-23,-0.26220323067959406,48.41476538384737,18.095915757336943,23.634445298727023
2022-01-24,-0.1359712319515225,48.47800059789309,16.761953294934305,21.74666115388923
2022-01-25,-0.4249859170467012,47.92317737257966,16.820279067804194,21.7011516631233
2022-01-26,-0.6786374198556082,48.8245608618439,18.71650457308203,24.68635021219975
2022-01-27,-0.6182999323781448,49.17155292696688,19.86483212852411,26.139249097471126
2022-01-28,-0.32691402745718,47.5941573965558,21.312664070852392,28.52300510689643
2022-01-29,-0.25238860242506433,47.75753911053535,21.885995602800413,28.994709811289237
2022-01-30,-0.2572566381712704,47.55632362389344,21.159919775204468,27.978160367171107
2022-01-31,0.030338316266030674,47.689557504173905,20.64828391407772,26.9531924206183
2022-02-01,-0.09555145880216642,47.198602379002196,21.425973955878533,27.61981738624284
2022-02-02,-0.18825000150662596,48.15752699083436,23.92283779668147,31.15546192667632
2022-02-03,0.02718023246984025,48.55573760203564,25.54043671729696,32.989967356910746
2022-02-04,0.4644627411378526,47.02344178627036,27.316932846547225,35.583311154246985
2022-02-05,0.6727985922847441,47.226202232040094,28.07266957685028,36.09339368227708
2022-02-06,0.7872884729518717,47.05922734797822,27.380769237489943,34.948726101313056
2022-02-07,1.1780061475442256,47.222318595476665,26.756785730766154,33.63758383277314
2022-02-08,1.1378453816338308,46.75774777803424,27.280889595060533,33.87187316273513
2022-02-09,1.1129679575257079,47.740628705504164,29.391600165545434,36.84401650603925
2022-02-10,1.3784410550074,48.16152382964306,30.502259911574804,38.00152392354374
2022-02-11,1.848740727656736,46.651881233228586,31.66556720251699,39.824224842250274
2022-02-12,2.0744031715388136,46.87855903659647,31.718734736916176,39.49151643301702
2022-02-13,2.192388477188816,46.73808453536782,30.253609995995596,37.454479176084064
2022-02-14,2.5750798715178362,46.93156859800649,28.80580887408347,35.224439352533466
2022-02-15,2.5180430011626953,46.50254922284881,28.476354409546563,34.5362418103155
2022-02-16,2.470375761262444,47.52732939692333,29.724850353221782,36.6045542529968
2022-02-17,2.7102401142523647,47.99755061433696,29.98539990549901,36.89788590533668
2022-02-18,3.155255995688165,46.545598216477316,30.33060089149071,37.91530888901501
2022-02-19,3.3590424583182497,46.839096399496086,29.61619896659566,36.85325188007485
2022-02-20,3.4614741952434294,46.775140955537736,27.450748551880864,34.17722807509266
2022-02-21,3.8375797683036303,47.05519099496167,25.38434455412354,31.410086777876476
2022-02-22,3.785209204458118,46.72289419630413,24.529926996421718,30.295059350768568
2022-02-23,3.755304261628682,47.85441129159944,25.356196496428936,32.051925807439105
2022-02-24,4.027365214200998,48.440981606521916,25.3033569211642,32.150987438835934
2022-02-25,4.5197961977921715,47.11432616052928,25.44702013231142,33.08983379771405
2022-02-26,4.7864156928927795,47.54114637965699,24.642855636290847,32.060271076313064
2022-02-27,4.966701149713513,47.61736656023289,22.496333593218026,29.520268927612502
2022-02-28,5.43469437451194,48.04304124395734,20.551620640157058,26.982507777025777
2022-03-01,5.486695040152318,47.86020182044365,19.913124770570427,26.17778803772215
2022-03-02,5.571574754299402,49.14320768230864,21.038719258785214,28.311616381885212
2022-03-03,5.966304124953375,49.8813432279126,21.355852180994777,28.838641867311832
2022-03-04,6.586372956863382,48.70425656061775,21.925865135705436,30.23991654736697
2022-03-06,7.290413274164565,49.491799821414936,19.935069131985877,27.63108244852455
2022-03-07,7.880980440272723,50.048034986364655,18.49191381956218,25.558696935249806
2022-03-08,8.046887034998102,49.98509892853965,18.348334861671727,25.188929554910864
2022-03-09,8.233618131883278,51.37530794408141,19.94731034105097,27.71376810539997
2022-03-10,8.714976797828498,52.20603690548948,20.702615288388074,28.576247101723695
2022-03-11,9.403601622180357,51.10519700200888,21.663514912636682,30.248021221419
2022-03-12,9.847652445158623,51.73580901138489,21.660182958138105,29.897044669078245
2022-03-13,10.181227946860705,51.990318514049804,20.27417178930542,27.960192588460078
