지역명,도로명,차선,도로등급,도로유형,최고속도,링크연장,업데이트
강서구,마곡중앙3로,1,104,0,30,285.607491253608,20230519
성동구,뚝섬로,3,104,0,60,65.700380118057,20230519
동대문구,장안벚꽃로,1,104,0,50,63.024084059357,20230519
마포구,상암산로,2,104,0,50,263.757586944499,20230519
용산구,서빙고로,2,104,0,50,1398.59803366221,20230519
종로구,평창문화로,2,104,0,50,246.812008402793,20230519
종로구,송월길,1,104,0,30,171.139851521714,20230519
영등포구,문래로30길,1,104,0,40,149.731614664359,20230519
강서구,등촌로,3,104,0,50,211.548152986826,20230519
성북구,장월로,1,104,0,50,108.424710861604,20230519
마포구,토정로,2,104,0,50,168.388596857895,20230519
도봉구,노해로65길,2,104,0,40,126.949652951123,20230519
서대문구,증가로20가길,1,104,0,10,177.277590710472,20230519
노원구,노원로18길,2,104,0,50,60.633703305092,20230519
동대문구,이문로,2,104,0,50,64.143896631734,20230519
강남구,선릉로130길,1,104,0,30,134.598330564583,20230519
송파구,위례송파로,1,104,0,50,7.208918646211,20230717
금천구,금하로,2,104,0,40,126.887841066111,20230519
성동구,매봉18길,1,104,0,30,277.88948208441,20230519
송파구,오금로27길,1,104,0,30,288.700665104951,20230519
송파구,잠실로,4,104,0,30,155.676464617649,20230519
서대문구,연희로5길,1,104,0,10,373.874350058954,20230519
동대문구,홍릉로,2,104,0,30,336.378607151303,20230519
동작구,매봉로6길,1,104,0,30,154.42807896987,20230519
영등포구,영등포로18길,1,104,0,30,195.986820455797,20230519
도봉구,도봉로169길,1,104,0,10,736.876262429369,20230519
구로구,오리로13길,1,104,0,30,453.590121839128,20230519
양천구,신정로7길,2,104,0,50,148.686675969147,20230519
마포구,월드컵로,3,104,0,50,602.872518958711,20230519
송파구,위례북로,1,107,0,30,242.410884291029,20230519
중랑구,망우로,3,103,0,50,102.359769470002,20230519
양천구,공항대로,4,103,0,50,105.363623316697,20230519
양천구,신월로,3,104,0,50,126.399321550979,20230519
중랑구,중랑역로,1,104,0,30,109.926527041615,20230519
노원구,동일로228길,1,104,0,30,73.039976373333,20230519
강남구,선릉로,2,104,0,50,214.176639971741,20230519
도봉구,창포원로,2,104,0,50,278.00551717089,20230519
중구,서소문로,2,104,0,50,69.563198690587,20230519
송파구,오금로,3,104,0,50,281.145117333063,20230519
